"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",5026,5026,5026,2321,5411,694,694,694,913,5411,1940,1940,1940,986,5411,3748,3748,3748,1546,5411,4662,4662,4662,2794,5411
"asv2",2015,2015,2015,1658,2533,998,998,998,1634,2533,1484,1484,1484,1854,2533,2400,2400,2400,1843,2533,2509,2509,2509,1742,2533
"asv3",321,321,321,460,267,172,172,172,335,267,178,178,178,314,267,292,292,292,308,267,320,320,320,328,267
"asv4",2130,2081,2126,2077,1413,815,826,806,1809,1413,1305,1338,1314,1958,1413,1733,1708,1748,1958,1309,2031,2124,2012,2072,1413
"asv5",875,875,875,823,1267,308,308,308,839,1267,491,491,491,780,1267,668,668,668,803,1267,762,762,762,965,1267
"asv6",126,126,126,140,599,82,82,82,155,599,116,116,116,166,599,117,117,117,148,599,131,131,131,180,599
"asv7",232,232,232,112,841,84,84,84,142,841,103,103,103,116,841,184,184,184,114,841,147,147,147,112,841
"asv8",376,376,376,657,1995,163,163,163,801,1995,242,242,242,965,1995,386,386,386,659,1995,384,384,384,754,1995
"asv9",171,171,171,258,887,65,65,65,249,887,91,91,91,247,887,139,139,139,183,887,150,150,150,263,887
"asv10",119,119,119,148,491,65,65,65,89,491,76,76,76,131,491,120,120,120,170,491,113,113,113,196,491
"asv11",59,59,59,65,0,9,9,9,59,0,24,24,24,62,0,42,42,42,64,0,52,52,52,65,0
"asv12",122,122,122,190,0,57,57,57,271,0,45,45,45,284,0,78,78,78,273,0,72,72,72,239,0
"asv13",53,53,53,74,0,18,18,18,64,0,40,40,40,70,0,59,59,59,73,0,65,65,65,74,0
"asv14",93,93,93,260,0,21,21,21,233,0,73,73,73,246,0,88,88,88,255,0,95,95,95,259,0
"asv15",51,51,51,132,0,34,34,34,115,0,67,67,67,125,0,60,60,60,129,0,68,68,68,132,0
"asv16",51,51,51,57,0,14,14,14,50,0,26,26,26,55,0,39,39,39,57,0,49,49,49,57,0
"asv17",72,72,72,111,0,77,77,77,77,0,75,75,75,79,0,55,55,55,116,0,45,45,45,137,0
"asv18",47,47,47,56,0,15,15,15,52,0,25,25,25,53,0,40,40,40,55,0,50,50,50,55,0
"asv19",45,45,45,46,0,0,0,0,42,0,0,0,0,44,0,33,33,33,45,0,38,38,38,46,0
"asv20",211,211,211,268,0,57,57,57,282,0,154,154,154,393,0,190,190,190,317,0,249,249,249,307,0
"asv21",45,45,45,97,0,21,21,21,74,0,26,26,26,82,0,43,43,43,85,0,53,53,53,96,0
"asv22",484,484,484,418,1258,178,178,178,492,1258,199,199,199,367,1258,426,426,426,344,1258,369,369,369,405,1258
"asv23",153,153,153,361,447,72,72,72,345,447,93,93,93,356,447,116,116,116,311,447,127,127,127,362,447
"asv24",40,40,40,307,66,49,49,49,288,66,52,52,52,297,66,62,62,62,247,66,71,71,71,245,66
"asv25",40,40,40,40,0,9,9,9,36,0,20,20,20,38,0,30,30,30,40,0,35,35,35,40,0
"asv26",39,39,39,37,0,0,0,0,0,0,18,18,18,35,0,29,29,29,35,0,31,31,31,37,0
"asv27",185,185,185,321,742,73,73,73,369,742,168,168,168,382,742,226,226,226,345,742,210,210,210,382,742
