"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",9215,9215,9215,9482,7807,3449,3449,3449,8108,7807,5626,5626,5626,8508,7807,7670,7670,7670,9290,7807,8374,8374,8374,9435,7807
"asv2",1216,1216,1216,1859,2117,360,360,360,1833,2117,680,680,680,2356,2117,1339,1339,1339,2445,2117,1079,1079,1079,2416,2117
"asv3",610,607,607,896,1259,290,290,290,682,1259,408,405,408,861,1259,538,538,538,811,1259,582,582,582,895,1259
"asv4",262,262,262,270,229,29,29,29,232,229,89,89,89,245,229,173,173,173,263,229,211,211,211,270,229
"asv5",611,611,611,580,1357,262,262,262,732,1357,365,365,365,619,1357,508,508,508,781,1357,562,562,562,642,1357
"asv6",223,226,226,1440,1279,152,152,152,1139,1279,125,128,125,1180,1279,203,203,203,1287,1279,215,215,215,1210,1279
"asv7",276,276,276,246,0,120,120,120,220,0,173,173,173,235,0,239,239,239,243,0,256,256,256,244,0
"asv8",166,166,166,168,0,67,67,67,157,0,101,101,101,162,0,137,137,137,167,0,156,156,156,168,0
"asv9",295,295,295,396,8,95,95,95,342,0,154,154,154,269,8,204,204,204,277,11,242,242,242,280,0
"asv10",151,151,151,163,0,30,30,30,135,0,71,71,71,152,0,110,110,110,161,0,128,128,128,161,0
"asv11",298,298,298,1788,1631,90,90,90,1534,1631,143,143,143,1665,1631,179,179,179,1737,1631,305,305,305,1778,1631
"asv12",279,279,279,396,187,135,135,135,353,187,172,172,172,372,187,228,228,228,386,187,250,250,250,396,187
"asv13",145,145,145,213,0,74,74,74,187,0,107,107,107,198,0,154,154,154,208,0,128,128,128,211,0
"asv14",377,377,377,372,345,146,146,146,364,345,199,199,199,385,345,296,296,296,395,345,327,327,327,402,345
"asv15",135,135,135,149,0,24,24,24,128,0,53,53,53,139,0,87,87,87,144,0,110,110,110,148,0
"asv16",225,225,225,673,1392,114,114,114,953,1392,148,148,148,1018,1392,161,161,161,1058,1392,196,196,196,1070,1392
"asv17",215,215,215,366,337,69,69,69,327,337,99,99,99,345,337,153,153,153,360,337,181,181,181,364,337
"asv18",145,145,145,321,295,94,94,94,292,295,136,136,136,308,295,163,163,163,314,295,179,179,179,319,295
"asv19",126,126,126,192,0,46,46,46,173,0,75,75,75,181,0,96,96,96,188,0,114,114,114,192,0
"asv20",125,125,125,123,0,28,28,28,103,0,60,60,60,114,0,86,86,86,120,0,104,104,104,123,0
"asv21",271,271,271,382,364,165,165,165,529,364,209,209,209,596,364,237,237,237,603,364,249,249,249,384,364
"asv22",1158,1158,1158,1498,2041,714,714,714,1501,2041,879,879,879,1465,2041,1143,1143,1143,1531,2041,1125,1125,1125,1545,2041
"asv23",126,2,2,2,105,2,2,46,2,0,2,2,2,2,0,2,98,2,126,0,2,110,2,129,0
"asv24",111,111,111,108,0,43,43,43,100,0,67,67,67,105,0,88,88,88,108,0,102,102,102,108,0
"asv25",306,306,306,503,308,133,133,133,460,308,193,193,193,480,308,292,292,292,491,308,319,319,319,499,308
"asv26",278,246,278,246,646,179,179,177,229,646,279,279,279,375,646,256,256,256,247,646,224,224,224,245,646
"asv27",104,104,104,122,0,45,45,45,112,0,70,70,70,118,0,101,101,101,121,0,111,111,111,122,0
"asv28",103,103,103,213,0,71,71,71,184,0,102,102,102,199,0,107,107,107,210,0,117,117,117,211,0
"asv29",97,97,97,129,94,56,56,56,119,94,66,66,66,123,94,88,88,88,127,94,91,91,91,128,94
"asv30",96,96,96,100,89,38,38,38,87,89,51,51,51,92,89,72,72,72,96,89,84,84,84,98,89
"asv31",95,95,95,104,0,22,22,22,82,0,38,38,38,94,0,70,70,70,103,0,76,76,76,104,0
"asv32",94,94,94,111,0,45,45,45,101,0,64,64,64,106,0,75,75,75,108,0,87,87,87,110,0
"asv33",89,89,89,92,0,27,27,27,84,0,42,42,42,87,0,68,68,68,90,0,76,76,76,92,0
"asv34",221,221,221,319,661,116,116,116,292,661,174,174,174,305,661,246,246,246,317,661,237,237,237,319,661
"asv35",289,289,289,323,471,63,63,63,358,471,139,139,139,382,471,269,269,269,387,471,316,316,316,396,471
"asv36",200,200,200,506,454,102,102,102,436,454,147,147,147,466,454,184,184,184,486,454,144,144,144,506,454
"asv37",99,99,99,283,709,58,58,58,257,709,81,81,81,272,709,82,82,82,278,709,118,118,118,281,709
"asv38",72,72,72,73,69,29,29,29,70,69,39,39,39,70,69,62,62,62,72,69,70,70,70,73,69
"asv39",70,70,70,70,0,27,27,27,62,0,47,47,47,65,0,56,56,56,67,0,64,64,64,70,0
"asv40",68,68,68,69,60,13,13,13,61,60,27,27,27,65,60,45,45,45,68,60,55,55,55,69,60
"asv41",369,369,369,705,561,154,154,154,638,561,247,247,247,670,561,274,274,274,696,561,328,328,328,702,561
"asv42",181,181,181,741,0,110,110,110,660,0,132,132,132,713,0,150,150,150,737,0,134,134,134,746,0
"asv43",89,89,89,83,0,30,30,30,77,0,38,38,38,77,0,74,74,74,79,0,80,80,80,82,0
"asv44",329,329,329,574,27,110,110,110,528,35,117,117,117,519,27,248,248,248,535,24,275,275,275,476,35
"asv45",135,135,135,179,808,98,98,98,201,808,89,89,89,216,808,97,97,97,220,808,158,158,158,223,808
"asv46",84,84,84,42,0,0,0,0,56,0,32,32,32,40,0,56,56,56,42,0,75,75,75,42,0
"asv47",315,315,315,586,1595,145,145,145,636,1595,216,216,216,649,1595,314,314,314,654,1595,355,355,355,599,1595
"asv48",57,57,57,57,51,26,26,26,49,51,31,31,31,53,51,43,43,43,55,51,52,52,52,57,51
"asv49",152,152,100,70,17,37,37,37,59,17,97,97,97,67,17,88,88,88,74,17,123,123,125,74,17
"asv50",98,98,98,48,0,10,10,10,44,0,36,36,36,45,0,76,76,76,48,0,88,88,88,48,0
"asv51",47,47,47,49,37,22,22,22,41,37,29,29,29,46,37,38,38,38,48,37,40,40,40,49,37
"asv52",47,47,47,47,0,19,19,19,45,0,28,28,28,47,0,37,37,37,47,0,45,45,45,47,0
"asv53",38,38,38,0,0,15,15,15,0,0,20,20,20,0,0,31,31,31,0,0,36,36,36,0,0
"asv54",37,37,37,39,0,10,10,10,34,0,17,17,17,36,0,29,29,29,37,0,33,33,33,39,0
"asv55",35,35,35,0,0,0,0,0,0,0,22,22,22,0,0,30,30,30,0,0,31,31,31,0,0
"asv56",32,32,32,32,0,12,12,12,29,0,17,17,17,31,0,22,22,22,32,0,25,25,25,32,0
"asv57",93,93,93,68,84,27,27,27,35,84,46,46,46,38,84,81,81,81,67,84,87,87,87,22,84
"asv58",25,25,25,0,0,0,0,0,0,0,13,13,13,0,0,22,22,22,0,0,24,24,24,0,0
"asv59",24,24,24,0,0,5,5,5,0,0,17,17,17,0,0,21,21,21,0,0,22,22,22,0,0
"asv60",24,24,24,0,0,6,6,6,0,0,7,7,7,0,0,17,17,17,0,0,20,20,20,0,0
"asv61",23,23,23,0,0,0,0,0,0,0,14,14,14,0,0,18,18,18,0,0,21,21,21,0,0
"asv62",23,23,23,424,1113,0,0,0,487,1113,0,0,0,520,1113,0,0,0,543,1113,18,18,18,551,1113
"asv63",56,56,56,1299,1731,0,0,0,1135,1731,0,0,0,1069,1731,0,0,0,1069,1731,0,0,0,1111,1731
"asv64",21,21,21,0,0,8,8,8,0,0,13,13,13,0,0,16,16,16,0,0,17,17,17,0,0
"asv65",20,20,20,0,0,0,0,0,0,0,12,12,12,0,0,16,16,16,0,0,19,19,19,0,0
"asv66",20,20,20,0,0,6,6,6,0,0,10,10,10,0,0,14,14,14,0,0,16,16,16,0,0
"asv67",19,19,19,0,0,8,8,8,0,0,13,13,13,0,0,15,15,15,0,0,19,19,19,0,0
"asv68",16,16,16,0,0,5,5,5,0,0,8,8,8,0,0,12,12,12,0,0,15,15,15,0,0
"asv69",13,13,13,0,0,11,9,9,0,0,10,10,10,0,0,12,12,12,0,0,13,13,13,0,0
"asv70",11,11,11,11,0,4,4,4,10,0,5,5,5,10,0,7,7,7,10,0,10,10,10,11,0
"asv71",11,11,11,0,0,0,0,0,0,0,5,5,5,0,0,8,8,8,0,0,11,11,11,0,0
"asv72",11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,10,10,10,0,0
"asv73",7,7,7,0,0,0,0,0,0,0,5,5,5,0,0,6,6,6,0,0,7,7,7,0,0
"asv74",7,4,7,0,2,0,0,0,0,2,4,2,2,0,2,2,4,2,0,2,8,4,6,0,2
"asv75",3,3,3,0,0,0,0,0,0,0,2,2,2,0,0,3,3,3,0,0,3,3,3,0,0
"asv76",2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,2,2,2,0,0,2,2,2,0,0
"asv77",2,2,2,0,0,0,2,2,0,0,2,2,2,0,0,2,2,2,0,0,2,2,2,0,0
"asv78",2,5,2,0,0,0,0,0,0,0,0,2,2,0,0,4,2,4,0,0,0,4,2,0,0
"asv79",0,124,124,127,0,44,44,0,112,105,72,72,72,118,105,96,0,96,0,105,108,0,108,0,105
"asv80",0,32,0,0,0,11,11,11,0,0,17,17,17,0,0,22,22,22,0,0,27,27,27,0,0
"asv81",0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"asv82",0,0,0,452,377,0,0,0,410,377,0,0,0,433,377,0,0,0,446,377,0,0,0,452,377
"asv83",0,0,0,710,207,0,0,0,645,207,0,0,0,674,207,0,0,0,699,207,0,0,0,707,207
