"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv61",4,4,4,0,0,4,4,4,0,0,4,4,4,0,0,4,4,4,0,0,4,4,4,0,0
"asv62",3,0,0,0,0,17,0,34,0,0,2,0,0,0,0,2,0,0,0,0,0,8,0,0,0
"asv63",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0
"asv64",0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv65",0,0,0,284,262,0,0,0,243,262,0,0,0,262,262,0,0,0,269,262,0,0,0,275,262
"asv66",0,0,0,213,179,0,0,0,189,179,0,0,0,197,179,0,0,0,207,179,0,0,0,209,179
"asv67",0,0,0,373,726,0,0,0,221,726,0,0,0,228,726,0,0,0,258,726,0,0,0,361,726
"asv68",0,0,0,153,110,0,0,0,135,110,0,0,0,140,110,0,0,0,145,110,0,0,0,150,110
"asv69",0,0,0,287,381,0,0,0,161,381,0,0,0,235,381,0,0,0,248,381,0,0,0,282,381
"asv70",0,0,0,136,119,25,25,25,111,119,0,0,0,122,119,0,0,0,130,119,0,0,0,134,119
"asv71",0,0,0,133,111,0,0,0,115,111,0,0,0,121,111,0,0,0,129,111,0,0,0,130,111
"asv72",0,0,0,75,78,0,0,0,65,78,0,0,0,69,78,0,0,0,72,78,0,0,0,75,78
"asv73",0,0,0,56,0,0,0,0,50,0,0,0,0,54,0,0,0,0,54,0,0,0,0,54,0
"asv74",0,0,0,19,14,0,0,0,14,14,0,0,0,16,14,0,0,0,18,14,0,0,0,19,14
"asv75",0,0,0,16,0,0,0,0,14,0,0,0,0,14,0,0,0,0,14,0,0,0,0,15,0
"asv76",0,0,0,14,0,0,0,0,11,0,0,0,0,14,0,0,0,0,14,0,0,0,0,14,0
"asv77",0,0,0,0,980,0,0,0,0,980,0,0,0,0,980,0,0,0,0,980,0,0,0,0,980
"asv78",0,0,0,0,264,0,0,0,0,264,0,0,0,0,264,0,0,0,0,264,0,0,0,0,264
"asv79",0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250,0,0,0,0,250
"asv80",0,0,0,0,191,0,0,0,0,191,0,0,0,0,191,0,0,0,0,191,0,0,0,0,191
"asv81",0,0,0,0,162,0,0,0,0,162,0,0,0,0,162,0,0,0,0,162,0,0,0,0,162
"asv82",0,0,0,0,159,0,0,0,0,159,0,0,0,0,159,0,0,0,0,159,0,0,0,0,159
"asv83",0,0,0,0,15,6,6,6,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15
"asv84",0,0,0,0,0,10,10,10,0,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
"asv85",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0
