"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv56",124,124,124,169,145,60,60,60,147,145,78,78,78,174,145,125,125,125,192,145,101,101,101,166,145
"asv57",42,42,56,0,0,13,13,13,0,0,19,14,19,0,0,20,19,28,0,0,50,39,27,0,0
"asv58",72,72,72,183,196,8,8,8,160,196,19,19,19,178,196,58,58,58,187,196,58,58,58,181,196
"asv59",16,0,16,78,0,0,0,0,73,0,0,0,0,83,0,0,0,0,82,0,0,0,0,0,0
"asv60",14,14,14,113,0,0,0,0,99,0,0,0,0,104,0,36,36,36,114,0,29,29,29,114,0
"asv61",13,13,13,0,0,0,0,0,0,0,9,9,9,0,0,11,11,11,0,0,11,11,11,0,0
"asv62",37,41,41,131,0,38,38,38,107,0,38,38,38,135,0,31,31,31,130,0,33,33,33,129,0
"asv63",47,47,47,126,123,0,0,0,74,123,32,32,32,80,123,28,28,28,121,123,39,39,39,129,123
"asv64",63,63,63,242,0,10,10,10,253,0,10,10,10,245,0,14,14,14,233,0,20,20,20,236,0
"asv65",7,7,7,0,0,6,6,6,0,0,6,6,6,0,0,6,6,6,0,0,6,6,6,0,0
"asv66",16,16,16,103,0,0,0,0,100,0,0,0,0,111,0,24,24,24,109,0,23,23,23,116,0
"asv67",7,7,7,127,0,0,0,0,122,0,0,0,0,129,0,0,0,0,122,0,0,0,0,127,0
"asv68",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"asv69",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv70",0,0,40,0,0,0,0,0,7,65,16,0,0,0,0,0,3,0,0,0,0,0,5,0,32
"asv71",0,0,2,0,0,2,0,2,0,0,0,2,2,0,0,0,2,0,0,0,2,2,0,0,0
"asv72",0,0,0,69,0,0,0,0,48,0,0,0,0,59,0,0,0,0,64,0,0,0,0,67,0
"asv73",0,0,0,50,0,0,0,0,35,0,0,0,0,43,0,0,0,0,46,0,0,0,0,49,0
"asv74",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv75",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"asv76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0
"asv77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0
