"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",12183,12248,12248,12248,10301,4901,9003,9003,9003,10301,8875,11545,11545,11545,10301,11133,12247,12247,12247,10301,11364,12248,12248,12248,10301
"asv2",4885,5120,5120,5120,3591,1360,3153,3153,3153,3591,3326,4588,4588,4588,3591,4315,5118,5118,5118,3591,4415,5120,5120,5120,3591
"asv3",17182,17755,17755,17755,7269,5758,11444,11444,11444,7269,11203,16596,16596,16596,7269,13530,17754,17754,17754,7269,13749,17755,17755,17755,7269
"asv4",4313,4358,4358,4358,2976,539,2611,2611,2611,2976,1884,3837,3837,3837,2976,3245,4356,4356,4356,2976,3417,4358,4358,4358,2976
"asv5",4088,4164,4164,4164,2745,740,2189,2189,2189,2745,1560,3561,3561,3561,2745,2275,4157,4157,4157,2745,2470,4164,4164,4164,2745
"asv6",4442,4653,4653,4653,3354,1898,3444,3444,3444,3354,2984,4411,4411,4411,3354,3711,4653,4653,4653,3354,3887,4653,4653,4653,3354
"asv7",5857,6156,6156,6156,5025,2823,4858,4858,4858,5025,4430,5866,5866,5866,5025,5031,6156,6156,6156,5025,5113,6156,6156,6156,5025
"asv8",4334,4598,4598,4598,3231,2242,3618,3618,3618,3231,3267,4354,4354,4354,3231,3866,4596,4596,4596,3231,3965,4598,4598,4598,3231
"asv9",3038,3219,3228,3292,2073,1131,2003,1996,2114,2183,1815,2999,2823,2962,2183,2501,3291,3110,3071,2073,2563,3228,3262,3080,2073
"asv10",2050,2070,2070,2070,0,524,1178,1178,1178,0,1306,1782,1782,1782,0,1710,2069,2069,2069,0,1773,2070,2070,2070,0
"asv11",3015,3035,3035,3035,2305,1326,2223,2223,2223,2305,2143,2861,2861,2861,2305,2629,3034,3034,3034,2305,2725,3035,3035,3035,2305
"asv12",1935,1935,1935,1935,1584,959,1526,1526,1526,1584,1423,1858,1858,1858,1584,1704,1935,1935,1935,1584,1741,1935,1935,1935,1584
"asv13",2230,2275,2275,2275,1094,1028,1722,1722,1722,1094,1582,2138,2138,2138,1094,1923,2274,2274,2274,1094,1994,2275,2275,2275,1094
"asv14",7013,4883,7538,7345,2699,2810,5393,5606,6029,3943,5165,5306,6772,6025,3888,4433,6372,6714,4965,3613,6394,7724,6705,5177,3613
"asv15",1386,1384,1384,1384,1062,588,949,949,949,1062,1006,1269,1269,1269,1062,1225,1384,1384,1384,1062,1251,1384,1384,1384,1062
"asv16",2011,2047,2047,2047,1415,977,1592,1592,1592,1415,1546,1957,1957,1957,1415,1824,2047,2047,2047,1415,1853,2047,2047,2047,1415
"asv17",1005,1075,1075,1075,679,471,810,810,810,679,700,1007,1007,1007,679,880,1074,1074,1074,679,915,1075,1075,1075,679
"asv18",1972,2027,2027,2027,1407,988,1582,1582,1582,1407,1539,1906,1906,1906,1407,1788,2027,2027,2027,1407,1827,2027,2027,2027,1407
"asv19",1250,1280,1280,1280,710,515,827,827,827,710,874,1195,1195,1195,710,1087,1280,1280,1280,710,1111,1280,1280,1280,710
"asv20",2219,2280,1986,1986,1127,945,1505,1505,1505,1305,1619,2133,2133,2133,1127,1979,2280,1986,2280,1305,1752,2280,1986,1986,1305
"asv21",808,825,825,825,456,353,598,598,598,456,559,766,766,766,456,702,825,825,825,456,729,825,825,825,456
"asv22",726,733,733,733,0,249,470,470,470,0,509,667,667,667,0,644,733,733,733,0,656,733,733,733,0
"asv23",1070,1074,1074,1074,780,339,699,699,699,780,712,985,985,985,780,884,1073,1073,1073,780,901,1074,1074,1074,780
"asv24",653,675,675,675,0,22,95,95,95,0,189,438,438,438,0,457,675,675,675,0,481,675,675,675,0
"asv25",628,640,640,640,444,63,342,342,342,444,235,566,566,566,444,383,639,639,639,444,438,640,640,640,444
"asv26",623,634,634,634,0,128,306,306,306,0,342,580,580,580,0,465,634,634,634,0,482,634,634,634,0
"asv27",1182,1294,1294,1294,506,143,529,529,529,506,295,1128,1128,1128,506,622,1293,1293,1293,506,720,1294,1294,1294,506
"asv28",608,672,672,672,0,107,314,314,314,0,207,576,576,576,0,346,671,671,671,0,374,672,672,672,0
"asv29",549,1433,563,793,609,0,609,423,0,376,175,533,755,1361,609,687,1430,1430,1200,609,716,230,1433,1433,609
"asv30",1539,3004,1513,1513,2032,1403,1119,1119,1119,843,1102,2979,1291,1432,843,2799,1513,1513,3150,940,1409,1366,1513,3004,940
"asv31",470,484,484,484,383,169,321,321,321,383,346,448,448,448,383,437,484,484,484,383,443,484,484,484,383
"asv32",767,792,792,792,414,346,605,605,605,414,572,751,751,751,414,658,792,792,792,414,683,792,792,792,414
"asv33",416,439,439,439,303,195,332,332,332,303,312,424,424,424,303,381,439,439,439,303,386,439,439,439,303
"asv34",429,479,479,479,0,24,197,197,197,0,99,403,403,403,0,215,479,479,479,0,236,479,479,479,0
"asv35",691,704,704,704,354,289,519,519,519,354,440,652,652,652,354,553,704,704,704,354,598,704,704,704,354
"asv36",599,600,600,600,346,277,440,440,440,346,460,571,571,571,346,540,600,600,600,346,557,600,600,600,346
"asv37",366,378,378,378,228,106,207,207,207,228,167,315,315,315,228,243,378,378,378,228,255,378,378,378,228
"asv38",511,324,324,324,0,23,109,109,109,0,149,265,265,265,0,315,324,324,324,0,332,324,324,324,0
"asv39",834,719,719,719,204,196,402,402,402,204,475,656,656,656,204,640,719,719,719,204,664,719,719,719,204
"asv40",261,269,269,269,132,103,186,186,186,132,189,258,258,258,132,227,269,269,269,132,236,269,269,269,132
"asv41",240,253,253,253,164,59,149,149,149,164,114,218,218,218,164,162,253,253,253,164,174,253,253,253,164
"asv42",307,312,308,312,90,115,206,206,206,90,202,285,285,285,90,275,312,308,308,90,282,312,312,308,90
"asv43",192,196,196,196,0,95,159,159,159,0,150,186,186,186,0,173,196,196,196,0,174,196,196,196,0
"asv44",207,212,212,212,90,100,153,153,153,90,146,195,195,195,90,182,212,212,212,90,187,212,212,212,90
"asv45",157,159,159,159,0,82,105,105,105,0,126,135,135,135,0,142,159,159,159,0,144,159,159,159,0
