"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",52916,53304,53304,53304,38713,16390,32887,32887,32887,38713,31560,47483,47483,47483,38713,40729,53289,53289,53289,38713,42527,53304,53304,53304,38713
"asv2",26835,29210,29210,29210,18961,9262,19535,19535,19535,18961,18067,27237,27237,27237,18961,22084,29207,29207,29207,18961,22420,29210,29210,29210,18961
"asv3",11688,11653,11653,11653,10137,5279,9083,9083,9083,10137,8697,11068,11068,11068,10137,10093,11650,11650,11650,10137,10218,11653,11653,11653,10137
"asv4",8329,8401,8401,8401,6846,3851,6214,6214,6139,6846,6093,7865,7865,7865,6846,7322,8400,8400,8400,6846,7503,8401,8401,8401,6846
"asv5",5896,5926,5926,5926,4856,2289,4229,4229,4229,4856,4466,5527,5527,5527,4856,5382,5926,5926,5926,4856,5525,5926,5926,5926,4856
"asv6",6129,6460,6460,6460,4950,2563,4477,4477,4477,4950,3912,5963,5963,5963,4950,5045,6456,6456,6456,4950,5426,6460,6460,6460,4950
"asv7",7357,10213,10213,10213,0,1965,4784,4784,4784,0,5088,9260,9260,9260,0,7177,10209,10209,10209,0,7355,10213,10213,10213,0
"asv8",4434,4731,4731,4731,3291,2102,3585,3585,3585,3291,3304,4483,4483,4483,3291,3963,4730,4730,4730,3291,4037,4731,4731,4731,3291
"asv9",3833,4089,4089,4089,2908,1945,3194,3194,3194,2908,2982,3922,3922,3922,2908,3520,4089,4089,4089,2908,3598,4089,4089,4089,2908
"asv10",2482,2611,2611,2611,1881,725,1592,1592,1592,1881,1689,2331,2331,2331,1881,2184,2608,2608,2608,1881,2255,2611,2611,2611,1881
"asv11",2422,2683,2683,2683,1811,1181,2017,2017,2017,1811,1802,2551,2551,2551,1811,2170,2683,2683,2683,1811,2233,2683,2683,2683,1811
"asv12",1964,1977,1977,1977,1224,321,934,934,934,1224,952,1607,1607,1607,1224,1354,1977,1977,1977,1224,1437,1977,1977,1977,1224
"asv13",3449,3593,3593,3593,2542,1469,2627,2627,2627,2542,2321,3414,3414,3414,2542,2885,3592,3592,3592,2542,3071,3593,3593,3593,2542
"asv14",1102,1131,1131,1131,778,250,641,641,641,778,514,979,979,979,778,730,1128,1128,1128,778,781,1131,1131,1131,778
"asv15",1048,1072,1072,1072,0,324,660,660,660,0,673,940,940,940,0,903,1071,1071,1071,0,920,1072,1072,1072,0
"asv16",4158,3905,4187,4317,2628,1706,2866,3012,2881,2655,2832,3953,3953,3713,2628,3524,3905,3929,3957,2628,3733,3905,4011,3933,2668
"asv17",2917,3195,3195,3167,1462,1528,2410,2410,2410,1462,2290,3016,3016,2990,1462,2633,3194,3194,3166,1462,2698,3195,3167,3167,1462
"asv18",821,851,851,851,547,178,457,457,457,547,438,721,721,721,547,553,851,851,851,547,580,851,851,851,547
"asv19",875,877,877,877,650,188,448,448,448,650,305,756,756,756,650,496,876,876,876,650,546,877,877,877,650
"asv20",1326,1360,1360,1360,918,449,893,893,893,918,932,1248,1248,1248,918,1128,1360,1360,1360,918,1143,1360,1360,1360,918
"asv21",1100,1145,1145,1121,532,460,840,840,840,532,706,1080,1080,1080,532,930,1144,1120,1120,532,967,1145,1145,1145,532
"asv22",572,601,601,601,474,250,418,418,418,474,406,557,557,557,474,492,600,600,600,474,502,601,601,601,474
"asv23",526,528,528,528,0,139,298,298,298,0,305,461,461,461,0,446,528,528,528,0,458,528,528,528,0
"asv24",969,1074,1074,1074,2214,425,723,723,723,2214,747,974,974,974,2214,887,978,978,978,2214,906,1074,1074,1074,2214
"asv25",419,435,435,435,0,16,80,80,80,0,100,364,364,364,0,225,435,435,435,0,238,435,435,435,0
"asv26",755,693,693,693,400,233,430,430,430,400,482,634,634,634,400,650,693,693,693,400,671,693,693,693,400
"asv27",319,382,382,382,219,0,119,119,119,219,18,317,317,317,219,113,382,382,382,219,155,382,382,382,219
"asv28",482,489,489,489,284,232,372,372,372,284,328,467,467,467,284,412,489,489,489,284,439,489,489,489,284
"asv29",295,313,313,313,225,128,208,208,208,225,207,283,283,283,225,260,313,313,313,225,271,313,313,313,225
"asv30",291,301,301,301,187,34,165,165,165,187,119,249,249,249,187,211,301,301,301,187,220,301,301,301,187
"asv31",296,290,290,290,212,77,174,174,174,212,200,252,252,252,212,261,290,290,290,212,272,290,290,290,212
"asv32",486,494,494,494,334,244,394,394,394,334,376,472,472,472,334,445,494,494,494,334,453,494,494,494,334
"asv33",259,279,279,279,176,115,204,204,204,176,192,268,268,268,176,230,279,279,279,176,234,279,279,279,176
"asv34",312,309,309,309,201,143,244,244,244,201,237,299,299,299,201,270,309,309,309,201,277,309,309,309,201
