"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7"
"asv1",5626,43,6414,6963,7231,5301,6685
"asv2",408,16,465,500,476,444,464
"asv3",680,0,889,751,1264,714,945
"asv4",879,0,887,935,981,66,938
"asv5",365,0,351,393,420,0,358
"asv6",136,0,111,122,122,114,114
"asv7",125,0,922,906,928,179,932
"asv8",173,0,174,163,171,168,170
"asv9",107,0,91,91,86,86,83
"asv10",102,0,69,74,80,79,71
"asv11",101,0,114,124,125,110,115
"asv12",99,0,91,80,72,0,96
"asv13",89,0,109,134,110,101,125
"asv14",193,0,279,312,330,193,286
"asv15",172,0,172,182,221,156,176
"asv16",143,0,81,185,230,122,154
"asv17",199,0,280,307,347,204,287
"asv18",75,0,83,83,90,0,88
"asv19",89,3,94,79,106,91,88
"asv20",174,0,171,185,190,0,163
"asv21",72,0,11,89,95,72,94
"asv22",71,0,75,102,106,71,99
"asv23",70,0,80,81,60,73,85
"asv24",154,0,156,186,193,0,160
"asv25",209,0,487,481,438,245,459
"asv26",67,0,75,71,78,71,68
"asv27",66,0,100,104,110,67,101
"asv28",64,0,67,67,53,65,71
"asv29",148,0,80,160,178,130,132
"asv30",60,0,70,77,85,64,76
"asv31",147,11,116,111,157,109,107
"asv32",139,3,202,246,233,100,227
"asv33",296,0,321,277,254,284,313
"asv34",53,0,69,79,81,64,72
"asv35",51,0,57,66,62,52,63
"asv36",81,0,100,99,76,89,78
"asv37",216,0,277,283,292,24,304
"asv38",97,4,46,117,219,18,70
"asv39",117,0,201,230,293,0,209
"asv40",47,0,50,51,57,49,50
"asv41",132,0,147,137,169,134,114
"asv42",42,0,58,62,70,45,59
"asv43",39,0,45,54,62,43,52
"asv44",38,0,42,57,58,41,56
"asv45",38,0,45,72,73,41,49
"asv46",247,0,246,175,273,268,247
"asv47",35,0,0,0,22,0,0
"asv48",31,0,36,40,42,0,36
"asv49",29,0,34,36,36,0,34
"asv50",28,0,32,36,40,28,32
"asv51",27,0,33,36,44,30,34
"asv52",32,11,40,61,75,38,47
"asv53",22,0,27,39,40,24,36
"asv54",36,0,54,66,74,45,60
"asv55",20,0,25,26,31,20,26
"asv56",46,0,96,137,144,0,102
"asv57",17,0,19,24,29,18,23
"asv58",17,0,19,20,20,18,19
"asv59",17,0,17,22,22,15,19
"asv60",14,0,15,16,19,14,15
"asv61",13,0,15,15,16,13,15
"asv62",13,0,16,20,24,14,17
"asv63",13,0,14,14,15,0,14
"asv64",12,0,12,13,13,12,12
"asv65",12,0,13,13,14,13,13
"asv66",10,0,10,11,12,10,11
"asv67",10,0,10,13,15,10,11
"asv68",8,0,10,12,13,8,10
"asv69",7,0,8,10,10,7,8
"asv70",7,0,9,15,15,8,12
"asv71",6,0,7,7,8,6,7
"asv72",5,0,5,7,7,5,7
"asv73",5,0,5,7,7,5,5
"asv74",5,0,5,5,6,5,5
"asv75",2,0,8,8,8,2,8
"asv76",2,0,2,2,2,2,2
"asv77",2,0,83,2,2,2,4
"asv78",2,0,0,2,2,0,2
"asv79",2,0,3,3,3,2,3
"asv80",2,0,4,2,2,4,2
"asv81",0,8,288,224,215,0,213
"asv82",0,7,84,91,80,15,86
"asv83",0,0,783,894,845,0,769
"asv84",0,0,94,101,92,0,98
"asv85",0,0,175,243,243,0,175
"asv86",0,0,83,95,100,0,89
"asv87",0,0,156,190,186,0,157
"asv88",0,0,215,311,472,0,312
"asv89",0,0,92,76,105,0,81
"asv90",0,0,116,129,137,0,117
"asv91",0,0,80,91,61,0,84
"asv92",0,0,50,58,59,0,52
"asv93",0,0,47,56,67,0,50
"asv94",0,0,205,257,235,0,248
"asv95",0,0,81,98,107,0,110
"asv96",0,0,34,29,29,0,38
"asv97",0,0,23,26,26,0,25
"asv98",0,0,22,28,34,0,22
"asv99",0,0,13,13,13,0,13
"asv100",0,0,9,9,10,0,9
"asv101",0,0,9,0,11,0,9
"asv102",0,0,7,8,10,7,8
"asv103",0,0,6,6,6,0,6
"asv104",0,0,4,7,4,0,4
"asv105",0,0,2,2,2,0,2
"asv106",0,0,0,18,20,17,18
"asv107",0,0,0,10,10,0,10
"asv108",0,0,0,10,11,0,10
"asv109",0,0,0,0,9,0,0
"asv110",0,0,0,0,8,0,0
"asv111",0,0,0,0,5,0,0
"asv112",0,0,0,0,3,0,0
"asv113",0,0,0,0,0,0,37
