"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7"
"asv1",10498,1917,8459,10186,10519,5073,9385
"asv2",1490,0,2017,1981,2109,99,2104
"asv3",302,0,1391,1532,1519,945,1458
"asv4",398,0,613,633,651,32,618
"asv5",183,9,214,228,231,236,228
"asv6",157,13,206,215,222,184,215
"asv7",146,14,152,170,218,152,170
"asv8",101,0,132,133,135,132,133
"asv9",36,0,46,43,51,0,49
"asv10",60,4,92,102,94,89,102
"asv11",56,0,73,77,77,70,77
"asv12",113,0,107,149,151,131,152
"asv13",29,0,40,34,30,35,34
"asv14",260,0,291,327,323,299,298
"asv15",27,0,30,31,33,0,31
"asv16",26,0,40,23,34,23,23
"asv17",51,0,70,65,55,67,68
"asv18",26,0,28,38,22,23,32
"asv19",148,49,138,109,170,140,158
"asv20",56,7,60,16,45,75,56
"asv21",29,0,37,38,40,0,38
"asv22",128,0,279,293,301,134,294
"asv23",156,0,147,147,148,0,147
"asv24",24,0,29,30,55,28,32
"asv25",80,0,68,89,74,86,86
"asv26",62,0,65,80,81,65,80
"asv27",23,0,25,25,25,25,25
"asv28",22,0,32,15,15,23,15
"asv29",22,0,0,16,0,0,0
"asv30",46,13,43,68,52,34,43
"asv31",78,0,81,87,91,90,92
"asv32",29,0,265,217,208,22,224
"asv33",21,0,147,157,156,37,185
"asv34",123,42,243,198,231,115,243
"asv35",68,0,76,79,79,75,79
"asv36",45,0,54,50,85,64,62
"asv37",19,0,35,23,33,34,37
"asv38",48,0,73,73,65,70,80
"asv39",19,0,20,19,20,20,19
"asv40",114,0,144,143,159,127,143
"asv41",127,0,352,385,395,117,386
"asv42",18,0,40,45,46,19,42
"asv43",18,0,62,48,48,22,56
"asv44",61,0,53,55,62,0,55
"asv45",17,0,34,43,32,28,40
"asv46",17,0,23,23,24,18,23
"asv47",24,0,28,43,23,27,35
"asv48",27,0,26,24,24,21,24
"asv49",75,34,42,34,69,15,48
"asv50",15,0,15,16,16,15,16
"asv51",70,85,90,90,78,90,89
"asv52",14,0,51,44,45,47,44
"asv53",27,0,43,31,32,37,30
"asv54",14,0,16,21,25,18,21
"asv55",31,0,36,36,36,0,36
"asv56",12,0,14,14,14,0,14
"asv57",19,0,19,19,19,0,19
"asv58",81,0,82,92,92,82,92
"asv59",27,0,30,42,47,29,41
"asv60",75,0,67,70,86,73,70
"asv61",11,0,9,9,9,9,9
"asv62",10,0,9,9,10,9,9
"asv63",54,0,75,55,54,57,54
"asv64",10,0,12,12,12,12,12
"asv65",32,0,26,26,24,30,29
"asv66",22,0,19,21,24,23,21
"asv67",10,0,11,12,12,11,12
"asv68",41,0,43,43,47,30,43
"asv69",9,0,9,10,10,9,10
"asv70",50,0,105,124,125,54,122
"asv71",45,0,34,35,54,55,34
"asv72",9,0,9,9,10,9,9
"asv73",32,0,27,37,31,28,37
"asv74",32,0,39,28,41,40,34
"asv75",20,0,16,22,22,24,21
"asv76",7,0,8,10,10,0,9
"asv77",7,0,0,0,0,0,0
"asv78",65,0,64,70,55,45,70
"asv79",14,0,137,148,150,11,148
"asv80",6,0,6,7,7,6,7
"asv81",13,17,61,71,47,20,93
"asv82",5,5,8,9,10,8,9
"asv83",4,0,4,4,4,4,4
"asv84",7,0,87,89,89,9,87
"asv85",2,0,0,0,0,2,0
"asv86",4,0,85,99,101,4,98
"asv87",0,10,0,17,0,0,0
"asv88",0,0,169,214,225,0,225
"asv89",0,0,26,28,32,0,28
"asv90",0,0,62,65,45,0,62
"asv91",0,0,42,24,36,0,24
"asv92",0,0,22,0,0,0,22
"asv93",0,0,38,26,21,0,26
"asv94",0,0,18,19,23,0,19
"asv95",0,0,153,150,153,0,171
"asv96",0,0,13,13,23,0,13
"asv97",0,0,22,26,22,0,26
"asv98",0,0,44,36,39,0,39
"asv99",0,0,22,22,22,0,22
"asv100",0,0,10,0,0,0,10
"asv101",0,0,8,8,8,0,8
"asv102",0,0,5,5,0,0,5
"asv103",0,0,5,5,5,0,5
"asv104",0,0,3,3,3,0,3
"asv105",0,0,2,2,2,2,2
"asv106",0,0,0,30,30,0,0
"asv107",0,0,0,25,25,0,25
"asv108",0,0,0,22,22,0,0
"asv109",0,0,0,17,20,0,17
"asv110",0,0,0,15,17,0,15
"asv111",0,0,0,14,14,0,12
"asv112",0,0,0,13,16,0,13
"asv113",0,0,0,12,12,0,12
"asv114",0,0,0,10,10,0,10
"asv115",0,0,0,6,0,0,22
"asv116",0,0,0,0,16,0,0
"asv117",0,0,0,0,9,0,0
"asv118",0,0,0,0,9,0,0
"asv119",0,0,0,0,0,12,0
"asv120",0,0,0,0,0,0,12
"asv121",0,0,0,0,0,0,10
"asv122",0,0,0,0,0,0,8
