"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7"
"asv1",1979,0,3250,3311,3485,72,3441
"asv2",941,0,2166,2222,2109,2397,2172
"asv3",890,20,2517,2640,2817,2865,2709
"asv4",9051,1288,6698,7975,8415,3938,7357
"asv5",1942,0,1989,2096,2246,52,2083
"asv6",485,0,822,771,823,503,785
"asv7",185,0,203,197,207,211,212
"asv8",214,0,229,341,362,219,351
"asv9",475,0,542,557,517,0,557
"asv10",158,0,166,231,200,166,180
"asv11",199,0,193,200,201,0,200
"asv12",65,0,62,66,59,72,66
"asv13",115,0,147,114,114,147,114
"asv14",68,0,116,146,117,116,145
"asv15",67,0,133,102,165,0,102
"asv16",47,0,75,96,94,97,96
"asv17",99,18,136,52,92,136,54
"asv18",263,0,289,276,277,18,270
"asv19",44,0,66,61,63,46,61
"asv20",257,0,275,277,284,0,261
"asv21",96,0,101,120,115,68,120
"asv22",43,0,46,49,50,46,49
"asv23",232,0,529,569,569,198,577
"asv24",51,12,59,62,71,44,64
"asv25",111,0,99,112,126,83,88
"asv26",56,0,50,50,52,50,50
"asv27",112,0,51,123,127,51,123
"asv28",140,0,143,171,117,0,171
"asv29",112,0,422,346,324,116,341
"asv30",36,11,55,58,59,55,58
"asv31",140,6,149,131,150,173,184
"asv32",35,0,37,40,42,37,39
"asv33",34,0,34,25,26,34,25
"asv34",33,0,31,31,32,38,31
"asv35",179,0,190,194,193,210,192
"asv36",128,20,118,163,193,104,71
"asv37",76,0,88,98,84,76,98
"asv38",102,31,97,39,94,124,101
"asv39",32,0,34,33,34,34,33
"asv40",31,0,31,34,35,0,34
"asv41",49,0,51,42,44,51,49
"asv42",159,0,237,241,190,183,228
"asv43",56,0,70,70,66,70,70
"asv44",28,0,75,76,77,40,78
"asv45",39,0,58,54,55,43,54
"asv46",27,0,38,41,39,38,33
"asv47",133,0,136,133,158,113,133
"asv48",177,0,236,209,221,233,209
"asv49",25,0,25,25,27,25,25
"asv50",176,0,157,147,127,199,139
"asv51",90,0,109,113,79,101,95
"asv52",84,0,219,196,224,98,205
"asv53",106,0,109,103,114,97,103
"asv54",269,0,613,577,590,289,585
"asv55",156,0,148,146,147,151,146
"asv56",22,0,24,25,25,24,25
"asv57",21,0,22,23,26,22,23
"asv58",51,0,56,57,59,56,57
"asv59",51,3,74,65,65,70,91
"asv60",129,0,99,153,102,99,153
"asv61",87,0,137,137,138,94,139
"asv62",26,0,26,26,26,0,26
"asv63",19,0,31,35,35,26,35
"asv64",19,0,20,20,20,20,20
"asv65",19,0,19,20,20,0,19
"asv66",30,0,34,42,44,34,42
"asv67",55,0,139,93,113,110,93
"asv68",40,0,37,25,51,37,34
"asv69",18,0,19,19,20,19,19
"asv70",36,26,44,67,54,94,39
"asv71",191,0,188,188,190,170,181
"asv72",160,10,194,182,194,183,189
"asv73",120,0,132,103,134,134,88
"asv74",16,0,16,17,17,16,17
"asv75",16,0,16,0,0,16,16
"asv76",16,0,21,22,23,21,22
"asv77",15,0,15,16,16,15,0
"asv78",63,0,69,86,83,0,72
"asv79",15,0,17,19,22,17,19
"asv80",88,0,278,265,290,113,260
"asv81",14,0,15,16,18,15,16
"asv82",21,10,96,82,52,28,60
"asv83",33,0,51,54,53,41,58
"asv84",13,0,14,14,14,14,14
"asv85",12,0,0,23,0,0,27
"asv86",134,0,103,121,133,104,120
"asv87",8,0,8,8,9,0,8
"asv88",7,0,9,11,12,8,11
"asv89",6,0,8,8,8,8,8
"asv90",5,0,5,5,5,5,5
"asv91",8,0,194,191,195,0,191
"asv92",4,0,0,0,0,0,0
"asv93",4,0,4,4,4,4,4
"asv94",0,3,13,5,5,19,0
"asv95",0,0,93,95,95,0,88
"asv96",0,0,51,63,57,0,63
"asv97",0,0,43,34,29,0,34
"asv98",0,0,82,82,88,53,82
"asv99",0,0,40,43,40,0,43
"asv100",0,0,42,42,31,0,42
"asv101",0,0,33,35,30,0,35
"asv102",0,0,32,0,35,0,35
"asv103",0,0,159,224,215,0,223
"asv104",0,0,158,142,161,0,170
"asv105",0,0,45,41,51,0,46
"asv106",0,0,48,12,6,7,60
"asv107",0,0,98,98,101,0,124
"asv108",0,0,143,192,172,0,190
"asv109",0,0,23,46,47,0,46
"asv110",0,0,21,23,23,0,21
"asv111",0,0,72,71,68,0,71
"asv112",0,0,21,24,24,0,21
"asv113",0,0,28,32,33,0,33
"asv114",0,0,18,42,33,0,42
"asv115",0,0,86,87,77,0,87
"asv116",0,0,12,13,13,0,13
"asv117",0,0,75,83,83,0,83
"asv118",0,0,10,11,11,0,11
"asv119",0,0,6,6,6,6,6
"asv120",0,0,5,5,6,5,5
"asv121",0,0,4,0,0,0,25
"asv122",0,0,4,4,4,0,4
"asv123",0,0,3,3,0,0,3
"asv124",0,0,0,39,44,0,39
"asv125",0,0,0,35,0,0,0
"asv126",0,0,0,23,23,0,22
"asv127",0,0,0,7,7,0,7
"asv128",0,0,0,4,0,0,4
"asv129",0,0,0,0,15,0,0
"asv130",0,0,0,0,12,0,0
"asv131",0,0,0,0,5,0,0
"asv132",0,0,0,0,0,5,0
"asv133",0,0,0,0,0,0,17
