"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7"
"asv1",23821,0,24829,25599,26057,787,25500
"asv2",518,0,593,595,694,2438,668
"asv3",189,0,399,408,395,201,445
"asv4",323,0,337,348,408,336,343
"asv5",601,40,418,587,618,171,405
"asv6",108,0,146,156,127,146,155
"asv7",106,0,114,117,123,113,117
"asv8",98,0,109,115,113,109,115
"asv9",576,0,668,648,605,0,642
"asv10",107,12,97,112,118,101,112
"asv11",89,0,76,66,69,121,152
"asv12",88,0,138,120,107,136,120
"asv13",111,0,832,871,962,120,911
"asv14",205,0,222,234,246,220,234
"asv15",76,0,80,54,55,80,54
"asv16",246,0,1330,1367,1432,388,1363
"asv17",74,0,132,116,111,132,116
"asv18",70,0,109,119,122,74,117
"asv19",69,0,87,66,55,95,66
"asv20",66,0,137,124,127,118,123
"asv21",230,0,249,274,235,263,234
"asv22",128,0,364,372,387,208,371
"asv23",126,0,190,152,161,185,152
"asv24",58,32,56,66,73,57,66
"asv25",145,0,118,89,117,118,88
"asv26",54,0,58,63,66,58,63
"asv27",175,0,150,176,172,147,170
"asv28",64,0,196,205,181,69,203
"asv29",68,0,95,104,83,25,52
"asv30",41,0,48,54,56,47,53
"asv31",59,0,62,68,68,61,68
"asv32",55,0,58,63,65,58,63
"asv33",223,0,241,269,212,235,275
"asv34",32,0,33,35,35,31,35
"asv35",30,0,31,34,34,30,34
"asv36",28,0,30,37,39,30,36
"asv37",27,0,0,30,31,29,30
"asv38",26,0,29,34,34,29,32
"asv39",35,0,35,38,38,35,37
"asv40",25,17,31,35,37,31,35
"asv41",20,0,23,26,27,23,26
"asv42",20,0,23,25,27,22,25
"asv43",18,0,26,31,37,26,30
"asv44",35,12,102,100,110,36,100
"asv45",14,0,16,18,19,16,18
"asv46",13,0,13,14,14,13,14
"asv47",12,0,12,13,14,12,12
"asv48",11,0,11,11,12,0,11
"asv49",11,0,11,0,0,0,12
"asv50",11,0,11,12,12,11,12
"asv51",10,0,10,11,11,10,11
"asv52",10,0,11,12,13,11,12
"asv53",10,0,11,11,13,11,11
"asv54",9,0,28,29,32,10,28
"asv55",24,0,223,278,278,24,240
"asv56",7,0,9,9,9,9,9
"asv57",6,0,17,17,19,6,17
"asv58",5,0,5,5,5,0,5
"asv59",4,0,0,121,0,0,0
"asv60",4,0,4,4,4,4,4
"asv61",0,2,0,0,0,0,5
"asv62",0,0,620,564,572,0,646
"asv63",0,0,151,114,101,0,120
"asv64",0,0,117,96,59,0,96
"asv65",0,0,112,84,63,0,82
"asv66",0,0,105,68,0,0,0
"asv67",0,0,100,97,73,0,96
"asv68",0,0,285,248,349,0,273
"asv69",0,0,258,242,254,0,253
"asv70",0,0,89,85,87,0,94
"asv71",0,0,88,79,66,0,71
"asv72",0,0,76,68,57,0,79
"asv73",0,0,99,103,110,0,103
"asv74",0,0,63,85,68,0,68
"asv75",0,0,112,134,169,0,134
"asv76",0,0,86,89,54,0,87
"asv77",0,0,29,30,32,0,30
"asv78",0,0,18,21,22,18,21
"asv79",0,0,16,26,32,16,26
"asv80",0,0,20,26,4,0,26
"asv81",0,0,14,14,14,0,14
"asv82",0,0,13,14,14,0,14
"asv83",0,0,12,13,14,12,13
"asv84",0,0,11,12,12,0,12
"asv85",0,0,8,8,9,0,8
"asv86",0,0,6,6,6,0,6
"asv87",0,0,6,6,6,6,6
"asv88",0,0,4,4,4,4,4
"asv89",0,0,4,4,4,0,4
"asv90",0,0,2,3,3,0,3
"asv91",0,0,2,2,59,0,55
"asv92",0,0,2,0,0,0,0
"asv93",0,0,0,81,83,0,81
"asv94",0,0,0,41,42,0,41
"asv95",0,0,0,39,41,0,39
"asv96",0,0,0,22,22,0,22
"asv97",0,0,0,19,19,0,19
"asv98",0,0,0,16,16,0,16
"asv99",0,0,0,9,10,0,9
"asv100",0,0,0,8,9,0,8
"asv101",0,0,0,5,0,0,0
"asv102",0,0,0,0,24,0,0
"asv103",0,0,0,0,23,0,0
"asv104",0,0,0,0,16,0,0
"asv105",0,0,0,0,11,0,0
"asv106",0,0,0,0,6,0,0
"asv107",0,0,0,0,3,0,0
"asv108",0,0,0,0,0,4,2
