"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","105670","56481","54949","55001","40254","13205","203","11","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","105670","434","193","157","106","106","11","2","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_300-300"
"track3","105670","63929","62654","62506","60644","18434","312","11","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_290-290"
"track4","105670","70962","69514","69315","67481","19923","348","21","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_280-280"
"track5","105670","76177","74782","74739","73068","21452","382","29","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_270-270"
"track6","105670","48595","47714","47646","32435","10764","150","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_300-290"
"track7","105670","66773","65418","65313","63475","19256","333","17","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_290-280"
