"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7"
"asv1",15936,2715,11941,16870,18536,6924,13673
"asv2",846,0,940,961,1034,64,853
"asv3",294,81,202,384,379,169,451
"asv4",88,0,55,86,90,64,66
"asv5",290,0,305,336,367,44,329
"asv6",90,0,85,95,93,84,100
"asv7",174,0,279,278,275,176,332
"asv8",59,13,56,59,69,27,52
"asv9",71,0,203,322,380,66,294
"asv10",99,0,87,85,96,85,73
"asv11",40,0,48,47,56,47,46
"asv12",37,0,36,39,39,40,39
"asv13",166,0,360,375,377,168,366
"asv14",69,0,54,65,72,57,64
"asv15",38,0,69,54,65,0,52
"asv16",33,0,38,40,38,0,40
"asv17",33,0,31,36,37,0,32
"asv18",31,0,32,52,53,32,39
"asv19",259,0,278,341,295,6,320
"asv20",30,0,32,36,28,23,24
"asv21",29,0,33,34,35,32,33
"asv22",33,16,0,0,154,10,11
"asv23",29,0,32,33,35,30,33
"asv24",29,0,37,42,48,31,41
"asv25",28,0,29,33,36,0,33
"asv26",28,0,30,34,37,22,20
"asv27",57,0,46,41,55,4,43
"asv28",27,0,25,39,30,28,33
"asv29",74,35,125,94,85,74,41
"asv30",26,0,22,27,31,22,26
"asv31",26,0,29,27,34,28,28
"asv32",26,0,47,52,63,0,46
"asv33",26,0,30,34,45,30,34
"asv34",89,0,75,98,143,0,116
"asv35",83,5,99,107,159,37,111
"asv36",126,0,142,136,154,118,121
"asv37",38,0,24,35,38,24,31
"asv38",22,0,21,31,39,0,23
"asv39",22,0,24,31,36,24,31
"asv40",62,0,54,70,81,58,67
"asv41",96,0,179,224,170,72,196
"asv42",57,0,64,88,64,57,87
"asv43",180,0,184,214,267,207,202
"asv44",49,0,56,40,45,44,38
"asv45",47,0,84,77,91,76,82
"asv46",87,0,96,126,129,0,125
"asv47",40,0,37,47,47,37,42
"asv48",51,7,78,120,179,51,102
"asv49",51,0,119,115,116,52,114
"asv50",41,0,35,32,33,22,32
"asv51",16,0,16,16,16,16,0
"asv52",15,0,18,20,20,11,20
"asv53",15,0,17,18,18,17,18
"asv54",14,0,26,41,55,26,41
"asv55",39,3,50,113,50,17,58
"asv56",11,0,18,19,28,17,19
"asv57",26,0,60,33,46,33,36
"asv58",9,0,10,11,11,10,10
"asv59",9,0,14,19,0,14,18
"asv60",17,0,30,23,26,15,19
"asv61",7,0,9,9,9,9,9
"asv62",13,0,16,22,7,3,31
"asv63",15,0,5,20,22,24,17
"asv64",5,0,5,6,6,0,6
"asv65",9,0,47,44,59,10,38
"asv66",20,0,82,87,111,21,83
"asv67",7,0,127,122,134,21,122
"asv68",0,0,69,81,86,0,79
"asv69",0,0,45,0,0,0,0
"asv70",0,0,68,76,80,0,76
"asv71",0,0,120,118,114,0,92
"asv72",0,0,55,62,59,0,59
"asv73",0,0,28,30,40,0,48
"asv74",0,0,26,34,42,0,32
"asv75",0,0,24,24,24,0,24
"asv76",0,0,36,49,51,0,44
"asv77",0,0,19,25,25,0,25
"asv78",0,0,31,41,58,0,33
"asv79",0,0,16,17,18,0,17
"asv80",0,0,28,55,57,0,44
"asv81",0,0,13,0,16,0,16
"asv82",0,0,12,12,13,0,12
"asv83",0,0,17,37,46,29,37
"asv84",0,0,4,4,4,0,4
"asv85",0,0,11,10,10,0,10
"asv86",0,0,0,29,32,0,28
"asv87",0,0,0,13,0,0,0
"asv88",0,0,0,13,14,0,0
"asv89",0,0,0,7,9,0,7
"asv90",0,0,0,3,4,0,3
"asv91",0,0,0,3,3,0,3
"asv92",0,0,0,0,16,0,0
"asv93",0,0,0,0,12,0,0
"asv94",0,0,0,0,7,0,0
"asv95",0,0,0,0,0,0,16
