"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","91067","38704","33917","34050","29808","7793","219","76","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","91067","1571","634","437","291","237","6","26","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_300-300"
"track3","91067","41843","38883","38219","35359","11868","251","83","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_290-290"
"track4","91067","48883","45315","44322","41781","12804","272","101","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_280-280"
"track5","91067","54482","50389","48987","46920","13680","288","126","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_270-270"
"track6","91067","24679","22834","22422","18312","6711","164","45","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_300-290"
"track7","91067","45206","41872","41073","39051","12505","262","90","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_290-280"
