"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv28",71,87,87,66,71,87,87,66,71,87,87,66,71,87,87,66,71,87,87,66,71,87,87,66,71,87,87,66,71,87,87,66,71,87,87,66,71,87,87,66,71,87,87,66,71,87,87,66
"asv29",148,155,162,153,148,155,162,153,148,155,162,153,148,155,162,153,148,155,162,153,148,155,162,153,148,155,162,153,148,155,162,153,148,155,162,153,148,155,162,153,148,155,162,153,148,155,162,153
"asv30",61,25,25,59,61,25,25,59,61,25,25,59,61,25,25,59,61,25,25,59,61,25,25,59,61,25,25,59,61,25,25,59,61,25,25,59,61,25,25,59,61,25,25,59,61,25,25,59
"asv31",55,55,54,51,55,55,54,51,55,55,54,51,55,55,54,51,55,55,54,51,55,55,54,51,55,55,54,51,55,55,54,51,55,55,54,51,55,55,54,51,55,55,54,51,55,55,54,51
"asv32",107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
"asv33",53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
"asv34",80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
"asv35",97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
"asv36",47,47,42,42,47,47,42,42,47,47,42,42,47,47,42,42,47,47,42,42,47,47,42,42,47,47,42,42,47,47,42,42,47,47,42,42,47,47,42,42,47,47,42,42,47,47,42,42
"asv37",82,82,82,77,82,82,82,77,82,82,82,77,82,82,82,77,82,82,82,77,82,82,82,77,82,82,82,77,82,82,82,77,82,82,82,77,82,82,82,77,82,82,82,77,82,82,82,77
