"asv","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48","track49","track50","track51","track52","track53","track54","track55","track56"
"asv22",141,141,141,141,141,0,0,0,69,69,69,69,69,119,0,0,102,102,102,102,102,0,0,0,121,121,121,121,121,0,0,0,131,131,131,131,131,0,0,0,138,138,138,138,138,0,0,0,141,141,141,141,141,0,0,0
"asv23",107,107,107,107,107,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,77,0,0,0,96,96,96,96,96,0,0,0,100,100,100,100,100,0,0,0,107,107,107,107,107,0,0,0,107,107,107,107,107,0,0,0
"asv24",368,368,368,368,368,72,0,0,129,129,129,129,129,59,0,0,250,250,250,250,250,74,0,0,309,309,309,309,309,73,0,0,338,338,338,338,338,72,0,0,361,361,361,361,361,72,0,0,368,368,368,368,368,72,0,0
"asv25",172,172,172,172,172,0,0,0,102,102,102,102,102,0,0,0,133,133,133,133,133,0,0,0,151,151,151,151,151,0,0,0,163,163,163,163,163,0,0,0,171,171,171,171,171,0,0,0,172,172,172,172,172,0,0,0
"asv26",76,76,76,76,76,0,0,0,29,29,29,29,29,0,0,0,50,50,50,50,50,0,0,0,65,65,65,65,65,0,0,0,70,70,70,70,70,0,0,0,76,76,76,76,76,0,0,0,76,76,76,76,76,0,0,0
"asv27",85,85,85,85,85,87,0,0,49,49,49,49,49,67,0,0,64,64,64,64,64,83,0,0,72,72,72,72,72,87,0,0,80,80,80,80,80,87,0,0,83,83,83,83,83,87,0,0,84,84,84,84,84,87,0,0
"asv28",104,104,104,104,104,104,0,0,64,64,64,64,64,88,0,0,90,90,90,90,90,99,0,0,94,94,94,94,94,103,0,0,100,100,100,100,100,104,0,0,103,103,103,103,103,104,0,0,104,104,104,104,104,104,0,0
"asv29",63,63,63,63,63,52,0,0,36,36,36,36,36,17,0,0,47,47,47,47,47,51,0,0,57,57,57,57,57,52,0,0,61,61,61,61,61,52,0,0,62,62,62,62,62,52,0,0,63,63,63,63,63,52,0,0
"asv30",63,63,63,63,63,65,41,0,36,36,36,36,36,47,41,0,44,44,44,44,44,59,41,0,55,55,55,55,55,64,41,0,61,61,61,61,61,65,41,0,63,63,63,63,63,65,41,0,63,63,63,63,63,65,41,0
"asv31",125,125,125,125,125,174,0,0,70,70,70,70,70,133,0,0,73,73,73,73,73,164,0,0,88,88,88,88,88,173,0,0,96,96,96,96,96,174,0,0,104,104,104,104,104,174,0,0,107,107,107,107,107,174,0,0
"asv32",49,49,49,49,49,0,1,0,21,21,21,21,21,0,1,0,33,33,33,33,33,0,1,0,44,44,44,44,44,0,1,0,48,48,48,48,48,0,1,0,48,48,48,48,48,0,1,0,49,49,49,49,49,0,1,0
"asv33",38,38,38,38,38,0,0,0,18,18,18,18,18,0,0,0,30,30,30,30,30,0,0,0,35,35,35,35,35,0,0,0,37,37,37,37,37,0,0,0,38,38,38,38,38,0,0,0,38,38,38,38,38,0,0,0
"asv34",56,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,29,0,0,0,42,42,42,42,42,0,0,0,53,53,53,53,53,0,0,0,53,53,53,53,53,0,0,0,56,56,56,56,56,0,0,0
"asv35",51,51,51,51,51,29,42,0,30,30,30,30,30,16,41,0,38,38,38,38,38,27,42,0,44,44,44,44,44,29,42,0,50,50,50,50,50,29,42,0,51,51,51,51,51,29,42,0,51,51,51,51,51,29,42,0
"asv36",19,19,19,19,19,19,0,0,13,13,13,13,13,18,0,0,18,18,18,18,18,19,0,0,18,18,18,18,18,19,0,0,19,19,19,19,19,19,0,0,19,19,19,19,19,19,0,0,19,19,19,19,19,19,0,0
"asv37",23,23,23,23,23,22,16,0,7,7,7,7,5,22,45,0,8,8,8,8,8,26,0,0,19,17,19,19,19,24,16,0,22,22,22,22,22,24,61,0,22,22,22,22,22,22,16,0,22,22,22,22,22,22,0,0
"asv38",25,25,25,25,25,0,0,0,14,14,14,14,14,0,0,0,21,21,21,21,21,0,0,0,21,21,21,21,21,0,0,0,22,22,22,22,22,0,0,0,24,24,24,24,24,0,0,0,25,25,25,25,25,0,0,0
"asv39",11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,0,0,0,11,11,11,11,11,0,0,0,11,11,11,11,11,0,0,0,11,11,11,11,11,0,0,0
"asv40",10,8,18,143,143,17,31,10,18,18,8,0,8,0,16,0,0,9,9,9,9,9,6,10,9,0,0,9,0,17,0,0,6,15,15,15,15,17,0,0,23,8,18,8,10,0,31,10,18,8,8,18,10,12,6,0
"asv41",10,10,10,10,10,0,0,0,3,3,3,3,3,0,0,0,5,5,5,5,5,0,0,0,7,7,7,7,7,0,0,0,8,8,8,8,8,0,0,0,10,10,10,10,10,0,0,0,10,10,10,10,10,0,0,0
"asv42",5,5,5,5,5,0,0,0,3,3,3,3,3,0,0,0,4,4,4,4,4,0,0,0,4,4,4,4,4,0,0,0,5,5,5,5,5,0,0,0,5,5,5,5,5,0,0,0,5,5,5,5,5,0,0,0
"asv43",5,5,5,5,5,0,0,0,4,4,4,4,4,0,0,0,3,3,3,3,3,0,0,0,4,4,4,4,4,0,0,0,5,5,5,5,5,0,0,0,5,5,5,5,5,0,0,0,5,5,5,5,5,0,0,0
"asv44",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0
"asv45",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,4,0,0,0
"asv46",2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0
"asv47",1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
"asv48",0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,4,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
"asv49",0,4,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,4,0,4,0,0,0,0,4,4,4,4,0,0,0,0,4,0,4,4,0,0,0,0,4,4,0,0,0,0,0
"asv50",0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"asv51",0,0,0,0,0,327,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,310,0,0,0,394,0,0,0,0,0,0,327,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0
"asv52",0,0,0,0,0,15,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0
"asv53",0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0
