"trackID","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","140892","140870","137273","131476","99474","83082","122","85","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","140892","140870","137273","131476","99474","83082","122","85","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","140892","140870","137273","131476","99474","83082","122","85","Truncq_6","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","140892","140870","137273","131476","99474","83082","122","85","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","140892","140870","137273","131476","99474","83082","122","85","Truncq_10","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","140892","140863","139155","135870","117243","95920","90","88","Truncq_12","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track7","140892","140676","139442","139370","23778","22983","47","70","Truncq_14","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track8","140892","73298","72554","72450","4580","4575","0","51","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track9","140892","68474","67774","67529","61277","51834","110","81","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","140892","68474","67774","67529","61277","51834","109","82","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","140892","68474","67774","67529","61277","51834","109","82","Truncq_6","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track12","140892","68474","67774","67529","61277","51834","109","82","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track13","140892","68474","67774","67529","61277","51834","109","82","Truncq_10","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track14","140892","110556","109652","109288","96009","80176","92","84","Truncq_12","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track15","140892","140454","139238","139215","23704","22909","47","70","Truncq_14","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track16","140892","73298","72554","72450","4580","4575","0","51","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track17","140892","100502","99471","99029","77305","63139","118","84","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track18","140892","100502","99471","99029","77305","63139","118","84","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track19","140892","100502","99471","99029","77305","63139","119","83","Truncq_6","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track20","140892","100502","99471","99029","77305","63139","118","84","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track21","140892","100502","99471","99029","77305","63139","118","84","Truncq_10","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track22","140892","132662","131324","130356","112916","92692","93","87","Truncq_12","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track23","140892","140675","139441","139369","23777","22982","45","72","Truncq_14","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track24","140892","73298","72554","72450","4580","4575","0","50","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track25","140892","116381","115112","114074","86762","70737","123","84","Truncq_2","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track26","140892","116381","115112","114074","86762","70737","124","83","Truncq_4","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track27","140892","116381","115112","114074","86762","70737","124","83","Truncq_6","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track28","140892","116381","115112","114074","86762","70737","123","84","Truncq_8","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track29","140892","116381","115112","114074","86762","70737","123","84","Truncq_10","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track30","140892","139068","137471","135107","116619","95439","89","89","Truncq_12","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track31","140892","140676","139442","139370","23778","22983","48","69","Truncq_14","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
"track32","140892","73298","72554","72450","4580","4575","0","51","Truncq_16","rmphix_TRUE","MaxEE_3-3","TruncLen_0-0"
