"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","120882","110653","104697","107569","92777","77933","186","1","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","120882","101334","98339","98783","89305","72075","225","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-235"
"track3","120882","102837","99772","100383","91103","72888","227","7","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track4","120882","103677","100579","101174","92399","73509","227","10","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-225"
"track5","120882","104620","101497","102045","93238","74147","230","14","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-220"
"track6","120882","98712","95806","96241","86515","69452","223","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
"track7","120882","100271","97300","97745","88469","71218","226","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-235"
"track8","120882","101697","98670","99267","90109","72013","228","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track9","120882","102478","99384","100059","91324","72612","228","9","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-225"
"track10","120882","103365","100235","100853","92128","73208","231","11","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-220"
"track11","120882","94674","91749","92120","83429","67171","230","5","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track12","120882","96336","93409","93932","84743","67999","224","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-240"
"track13","120882","97748","94730","95252","86333","69394","227","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-235"
"track14","120882","99051","95984","96650","87847","70153","229","6","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track15","120882","99733","96640","97361","89058","70720","230","9","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-225"
"track16","120882","71684","69595","69707","63884","51837","211","1","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track17","120882","86293","83636","83963","76608","62038","224","4","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-245"
"track18","120882","87692","84965","85417","77376","62629","220","5","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-240"
"track19","120882","88805","86019","86487","78580","63670","223","5","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-235"
"track20","120882","89813","86974","87597","79947","64259","225","5","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track21","120882","90300","87410","88065","80661","64700","226","8","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
