"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",12680,12246,12156,12186,12211,12003,12056,12150,12366,12004,11311,11587,11740,11844,11751,8610,10736,10771,10971,11049,11055
"asv2",6242,5421,5811,5945,6008,5547,5360,5768,5887,5949,4944,5421,5239,5270,5752,3734,4975,4611,4789,5255,5291
"asv3",13251,11820,12154,12269,12367,11298,11731,12055,12169,12261,10717,11179,11594,11911,12020,9096,10013,10402,10757,11007,11132
"asv4",3383,3253,3287,3303,3322,3210,3241,3275,3288,3307,3160,3183,3212,3241,3253,2695,3018,3039,3063,3090,3099
"asv5",4153,3858,3897,3918,3939,3806,3828,3862,3883,3902,3709,3739,3758,3794,3815,3035,3467,3490,3505,3538,3551
"asv6",6878,7962,8062,8108,8172,7837,7908,8004,8050,8123,7580,7741,7807,7899,7938,6117,7183,7325,7376,7439,7471
"asv7",2930,2340,2386,2413,2448,1969,2311,2352,2377,2411,1878,1883,2188,2218,2240,692,1661,1665,1905,1924,1939
"asv8",2526,1962,1977,1985,1991,1923,1938,1951,1960,1965,1479,1492,1503,1506,1511,1089,1249,1259,1267,1268,1270
"asv9",3530,3185,3226,3246,3267,3147,3166,3205,3223,3242,3086,3106,3121,3157,3175,2304,2912,2961,2972,3000,3013
"asv10",1869,1271,1335,1393,1428,1210,1253,1314,1366,1390,1060,1070,1097,1144,1183,507,864,872,887,909,929
"asv11",4824,4490,4533,4554,4582,4442,4473,4513,4530,4544,4353,4368,4398,4435,4455,3622,4113,4128,4157,4188,4190
"asv12",2132,1971,1943,1989,1996,1962,1967,1934,1980,1985,1913,1924,1935,1903,1948,1602,1821,1830,1833,1802,1843
"asv13",2922,2727,2776,2803,2830,2682,2713,2756,2780,2805,2544,2627,2657,2711,2732,2195,2442,2516,2542,2588,2607
"asv14",1737,1622,1669,1689,1705,1575,1613,1658,1676,1692,1527,1553,1590,1633,1651,1323,1466,1488,1521,1558,1571
"asv15",1497,1435,1471,1481,1517,1382,1424,1458,1467,1501,1230,1334,1373,1402,1411,327,1048,1124,1141,1154,1161
