"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",8013,11309,11433,11470,11560,11169,11273,11393,11430,11518,10993,11058,11152,11259,11291,9312,10420,10479,10550,10641,10667
"asv2",16440,14722,15092,15211,15309,14065,14531,14882,14995,15082,13328,13840,14281,14616,14716,11073,12134,12604,12942,13202,13277
"asv3",4435,4320,4388,4417,4466,4249,4294,4358,4384,4432,4150,4197,4240,4300,4318,3515,3903,3943,3978,4027,4040
"asv4",3828,3668,3749,3788,3902,3524,3653,3730,3768,3875,3170,3480,3601,3671,3708,939,2841,3077,3167,3205,3226
"asv5",3565,2992,3058,3140,3241,2452,2962,3024,3101,3197,2407,2406,2894,2953,3026,830,2263,2263,2681,2726,2784
"asv6",4425,4144,4193,4218,4250,4057,4095,4140,4164,4191,3886,3998,4032,4075,4095,2826,3676,3773,3802,3834,3847
"asv7",5872,5398,5437,5455,5469,5265,5282,5318,5333,5346,4967,5114,5130,5160,5171,4072,4564,4695,4706,4727,4740
"asv8",4406,3953,3985,3993,4007,3968,3985,3970,3975,3993,3836,3850,3864,3889,3896,3204,3654,3664,3676,3697,3704
"asv9",3016,2434,2600,2604,2626,2505,2396,2521,2431,2599,2265,2318,2447,2456,2469,1893,2176,2053,2184,2226,2230
"asv10",1873,1722,1738,1748,1755,1689,1705,1720,1729,1736,1650,1670,1685,1698,1706,1340,1574,1592,1590,1596,1599
"asv11",2863,2719,2751,2766,2790,2678,2702,2733,2746,2754,2593,2641,2664,2693,2705,2124,2443,2486,2503,2526,2536
"asv12",1790,1714,1725,1731,1735,1674,1687,1698,1703,1707,1630,1640,1651,1660,1665,1328,1467,1477,1485,1491,1496
"asv13",2207,2016,2036,2050,2058,1979,1988,2008,2023,2031,1945,1953,1966,1978,1994,1549,1810,1821,1822,1831,1845
"asv14",2999,2778,1438,2945,1317,1394,1408,2897,2909,1433,1242,1373,1255,1398,2857,1091,2498,1288,1177,2669,1318
"asv15",5387,4877,5723,5028,6826,5872,5647,4405,4801,5996,6386,6367,6262,5859,4129,4603,4690,5590,6118,4394,5759
"asv16",1967,1880,1861,1863,1862,1851,1867,1883,1849,1846,1821,1830,1846,1860,1860,1531,1735,1741,1754,1732,1737
"asv17",1301,1263,1291,1299,1308,1225,1256,1282,1289,1297,1189,1221,1252,1276,1282,1044,1145,1172,1200,1220,1224
"asv18",1022,907,915,913,916,891,894,902,900,902,860,870,873,879,877,694,831,838,842,847,845
"asv19",1915,1851,1873,1880,1891,1829,1839,1860,1866,1877,1816,1828,1840,1859,1864,1528,1715,1718,1730,1745,1748
"asv20",1203,1136,1144,1151,1159,1121,1135,1143,1149,1153,1096,1107,1119,1127,1132,889,1024,1032,1042,1048,1051
"asv21",1867,2054,2060,2068,1782,1753,2032,2036,2044,1782,1718,1730,2002,1721,2013,1400,1624,1633,1636,1885,1873
"asv22",768,731,737,734,738,725,726,732,729,733,698,709,710,715,712,561,649,659,656,661,658
"asv23",670,652,659,663,668,641,646,652,655,660,623,630,635,641,643,537,586,591,596,601,603
