"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",47505,44851,46567,47324,48076,42245,44558,46215,46936,47648,40298,41691,43892,45458,46106,32861,37595,38941,40703,41958,42422
"asv2",27158,24385,25232,25501,25742,22941,24109,24894,25149,25375,21639,22667,23543,24259,24493,18060,19889,20586,21481,22071,22266
"asv3",11062,10731,10804,10857,10893,10584,10635,10702,10752,10790,10020,10383,10429,10299,10342,8099,9100,9333,9373,9423,9454
"asv4",7926,7604,7624,7654,7826,7396,7445,7545,7575,7667,7221,7264,7301,7394,7420,6098,6803,6839,6954,6944,6970
"asv5",5528,5458,5512,5539,5584,5391,5439,5497,5522,5567,5307,5338,5382,5435,5458,4477,5035,5059,5093,5134,5150
"asv6",9316,7625,7676,7694,7719,7379,7411,7452,7467,7490,6653,6722,6469,6357,6371,5188,5572,5671,5654,5686,5699
"asv7",5832,5684,5763,5795,5862,5599,5638,5716,5746,5808,5356,5524,5557,5620,5655,3886,5041,5193,5219,5266,5291
"asv8",4497,4054,4008,4062,4073,4030,4017,3972,4022,4030,3960,3970,3957,3913,3961,3251,3750,3733,3704,3700,3708
"asv9",3934,3591,3607,3641,3650,3560,3572,3588,3626,3634,3519,3503,3515,3530,3567,2936,3318,3300,3312,3324,3355
"asv10",2336,2185,2211,2230,2251,2149,2167,2192,2210,2230,2109,2130,2144,2168,2184,1786,1994,2014,2026,2046,2057
"asv11",2561,2224,2271,2248,2256,2191,2201,2253,2219,2234,2171,2152,2161,2213,2177,1761,2027,2007,2012,2022,2019
"asv12",1608,1512,1614,1648,1703,1393,1505,1607,1640,1692,1282,1382,1492,1593,1624,1052,1219,1309,1405,1494,1518
"asv13",3425,3217,3255,3274,3300,3165,3190,3227,3243,3268,3031,3115,3136,3170,3184,2260,2886,2958,2973,3004,3016
"asv14",3935,3494,3653,3864,3930,3765,3611,3717,3829,3658,3489,3490,3597,3559,3591,2781,3434,3318,3441,3380,3397
"asv15",979,799,808,818,837,780,791,800,810,827,749,751,760,769,776,267,659,660,664,669,676
"asv16",3057,2737,2789,2756,2734,2713,2682,2690,2693,2674,2683,2687,2655,2702,2630,2263,2609,2584,2617,2571,2574
"asv17",945,888,917,920,924,866,873,902,905,909,866,851,858,887,889,703,800,785,790,818,820
"asv18",757,596,604,621,638,572,585,593,608,623,510,515,523,529,537,230,379,380,386,408,411
"asv19",1249,1182,1229,1235,1253,1151,1177,1223,1225,1241,1101,1130,1157,1204,1205,929,1048,1076,1098,1139,1137
"asv20",730,632,674,692,704,585,628,667,686,697,543,574,606,642,659,454,506,534,557,590,602
"asv21",1074,1010,1020,1026,1013,996,981,968,1014,1023,980,996,979,987,1010,711,926,939,943,927,926
"asv22",561,510,519,521,528,500,507,516,518,525,483,499,507,515,517,414,463,474,480,487,488
"asv23",715,652,661,670,677,656,650,657,664,670,643,648,642,649,654,496,600,603,601,605,607
"asv24",461,446,449,449,450,432,432,435,435,436,422,423,423,425,425,290,371,371,371,373,373
