"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv127",0,0,0,0,2,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0
"asv128",0,0,0,0,0,59,72,0,0,0,43,48,64,73,0,0,42,39,40,50,78
"asv129",0,0,0,0,0,31,0,0,0,0,42,32,42,0,0,36,38,34,40,43,0
"asv130",0,0,0,0,0,30,0,0,0,0,28,30,30,0,0,24,26,29,29,30,0
"asv131",0,0,0,0,0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv132",0,0,0,0,0,25,0,0,0,0,0,25,27,0,0,0,0,0,0,0,0
"asv133",0,0,0,0,0,32,0,0,0,0,31,31,33,0,0,0,0,22,23,26,0
"asv134",0,0,0,0,0,25,0,0,0,0,19,25,26,0,0,0,0,25,26,26,0
"asv135",0,0,0,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv136",0,0,0,0,0,35,0,0,0,0,32,34,35,0,0,0,0,0,0,0,0
"asv137",0,0,0,0,0,29,0,0,0,0,27,29,30,0,0,0,0,0,0,0,0
"asv138",0,0,0,0,0,20,0,0,0,0,24,0,0,0,0,6,6,0,0,0,0
"asv139",0,0,0,0,0,19,0,0,0,0,17,19,20,0,0,17,17,19,20,21,0
"asv140",0,0,0,0,0,29,0,0,0,0,31,29,32,0,0,26,26,25,28,14,0
"asv141",0,0,0,0,0,14,15,0,0,0,0,0,0,16,0,0,0,0,0,15,0
"asv142",0,0,0,0,0,11,0,0,0,0,0,11,12,0,0,0,0,0,11,11,0
"asv143",0,0,0,0,0,11,0,0,0,0,10,11,12,12,0,10,10,11,12,12,12
"asv144",0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,4,4,5,5,0,0
"asv145",0,0,0,0,0,10,0,0,0,0,0,55,6,0,0,0,0,2,0,0,0
"asv146",0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,0,0,9,11,11,0
"asv147",0,0,0,0,0,15,0,0,0,0,15,15,16,0,0,0,0,0,0,0,0
"asv148",0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0
"asv149",0,0,0,0,0,9,0,0,0,0,4,9,10,0,0,0,0,0,0,0,0
"asv150",0,0,0,0,0,9,0,0,0,0,3,10,9,0,0,0,3,10,9,10,0
