"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv64",19,19,19,19,0,9,9,9,9,0,17,17,17,17,0,18,18,18,18,0,19,19,19,19,0
"asv65",17,17,17,17,0,10,10,10,10,0,12,12,12,12,0,15,15,15,15,0,17,17,17,17,0
"asv66",17,17,17,17,0,14,14,14,14,0,15,15,15,15,0,16,16,16,16,0,17,17,17,17,0
"asv67",17,17,17,17,0,10,10,10,10,0,16,16,16,16,0,19,19,19,19,0,17,17,17,17,0
"asv68",16,16,16,16,0,12,12,12,12,0,14,14,14,14,0,15,15,15,15,0,15,15,15,15,0
"asv69",14,14,14,14,0,12,12,12,12,0,12,12,12,12,0,14,14,14,14,0,14,14,14,14,0
"asv70",14,14,14,14,0,10,10,10,10,0,11,11,11,11,0,13,13,13,13,0,14,14,14,14,0
"asv71",13,13,13,13,0,12,12,12,12,0,13,13,13,13,0,13,13,13,13,0,13,13,13,13,0
"asv72",12,10,87,12,79,22,48,31,41,25,130,92,0,9,78,100,103,125,47,270,21,394,199,17,25
"asv73",12,12,12,12,0,7,7,7,7,0,11,11,11,11,0,12,12,12,12,0,12,12,12,12,0
"asv74",15,15,15,15,0,9,9,9,9,0,15,15,15,15,0,15,15,15,15,0,15,15,15,15,0
"asv75",11,11,11,11,0,8,8,8,8,0,8,8,8,8,0,10,10,10,10,0,11,11,11,11,0
"asv76",11,11,11,11,0,6,6,6,6,0,10,10,10,10,0,11,11,11,11,0,11,11,11,11,0
"asv77",13,3,3,3,0,0,2,0,0,0,0,3,0,0,11,7,0,0,0,0,10,0,0,22,0
"asv78",9,9,9,9,0,0,0,0,0,0,7,7,7,7,0,8,8,8,8,0,9,9,9,9,0
"asv79",7,7,0,25,0,8,13,9,4,0,17,14,5,21,0,7,10,3,3,0,40,7,21,14,0
"asv80",5,5,5,5,0,3,3,3,3,0,4,4,4,4,0,5,5,5,5,0,5,5,5,5,0
"asv81",5,5,5,0,0,0,2,2,0,0,2,2,2,2,0,5,5,5,5,0,0,0,0,0,0
"asv82",7,3,3,3,0,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,3,3,7,3,0
"asv83",3,3,3,0,0,3,3,3,3,0,3,0,3,3,0,0,3,3,3,0,3,3,3,3,0
"asv84",3,3,3,3,12,3,3,3,3,12,3,3,3,3,12,3,3,3,3,12,3,3,3,3,12
"asv85",2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
"asv86",1,1,1,1,0,1,1,1,1,0,3,3,3,3,0,1,1,1,1,0,1,1,1,1,0
"asv87",0,31,0,0,0,24,24,24,24,0,28,28,28,28,0,31,0,31,31,0,31,31,31,31,0
"asv88",0,4,4,4,0,4,4,4,4,0,45,45,45,45,0,62,62,62,62,0,4,4,0,4,0
"asv89",0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
"asv90",0,0,0,0,0,40,40,40,40,0,53,53,53,53,0,0,0,0,0,0,0,0,0,0,0
"asv91",0,0,0,0,0,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv92",0,0,0,0,0,21,21,21,21,0,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0
"asv93",0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv94",0,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv95",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"asv96",0,0,0,0,0,0,0,0,0,0,1231,0,21,0,0,0,0,0,0,0,0,0,0,0,0
"asv97",0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0
"asv98",0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
"asv99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
