"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv153","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Friedmanniella"
"asv154","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Caryophanon"
"asv155","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"asv156","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
"asv157","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"asv158","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium"
"asv159","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"asv160","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio"
"asv161","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae",NA
"asv162","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"asv163","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Rhodocytophaga"
"asv164","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"asv165","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae",NA
"asv166","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Hahella"
"asv167","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"asv168","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",NA
"asv169","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae",NA
"asv170","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Ammoniibacillus"
"asv171","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Planifilum"
"asv172","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae",NA
"asv173","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales",NA,NA
"asv174","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055"
"asv175","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Flaviflexus"
"asv176","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"asv177","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae",NA
"asv178","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"asv179","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Ornithobacterium"
"asv180","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","F082",NA
"asv181","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae",NA
"asv182","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"asv183","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA
"asv184","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter"
"asv185","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","C1-B045"
"asv186","Eukaryota","Euglenozoa","Euglenida","Euglenophyceae",NA,NA
"asv187","Bacteria","Gemmatimonadetes","S0134_terrestrial_group",NA,NA,NA
"asv188","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
"asv189","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"asv190","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Hydrogenophilaceae","Hydrogenophilus"
"asv191","Bacteria","Tenericutes","Mollicutes","EMP-G18",NA,NA
"asv192","Bacteria","Actinobacteria","Actinobacteria","Micrococcales",NA,NA
"asv193","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter"
"asv194","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Bogoriellaceae",NA
"asv195","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus"
"asv196","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus"
"asv197","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"asv198","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Acidipropionibacterium"
"asv199","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA
"asv200","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"asv201","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Tersicoccus"
