"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",20037,0,0,0,0,20925,0,0,0,0,20636,20874,21380,0,0,20300,20727,21114,21439,21815,0
"asv2",26942,26063,28224,28468,28659,24966,26028,28177,28415,28613,25609,24929,24509,28125,28357,26939,27445,23979,24357,26401,28120
"asv3",8516,9520,9615,8348,8406,8386,8170,9427,8326,8391,8762,8354,7766,8234,8316,8551,8694,8280,8903,8808,9398
"asv4",8155,0,0,0,0,8401,0,0,0,0,8361,8391,8755,0,0,8164,8350,8421,8781,8738,0
"asv5",1020,0,0,0,0,1996,0,0,0,0,1532,1992,2031,0,0,1249,1265,1718,1757,1785,0
"asv6",798,0,0,0,0,824,0,0,0,0,217,823,843,0,0,0,0,0,0,0,0
"asv7",631,0,0,0,0,670,0,0,0,0,649,668,674,0,0,0,0,0,0,0,0
"asv8",509,0,0,0,0,541,0,0,0,0,526,541,556,0,0,0,0,0,0,0,0
"asv9",1208,218,166,146,26,1349,194,189,246,229,1625,1089,1123,187,178,303,313,285,291,293,244
"asv10",273,0,0,0,0,280,0,0,0,0,275,279,287,0,0,269,274,278,286,292,0
"asv11",257,0,0,0,0,272,0,0,0,0,511,528,538,0,0,0,0,0,0,0,0
"asv12",404,0,0,0,0,430,0,0,0,0,418,429,442,0,0,0,0,0,0,0,0
"asv13",737,701,768,711,740,652,714,798,726,818,616,583,687,791,785,552,560,526,638,653,656
"asv14",223,0,0,0,0,240,0,0,0,0,210,240,250,2,2,224,210,217,250,256,2
"asv15",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv16",73,0,0,0,0,74,0,0,0,0,68,74,75,0,0,72,68,74,75,75,0
"asv17",12,36,24,38,24,16,29,29,16,30,11,16,16,16,30,12,11,18,18,18,30
"asv18",6,0,0,0,0,7,0,0,0,0,7,7,7,0,0,6,7,7,7,7,0
"asv19",5,0,0,0,0,5,0,0,0,0,5,5,5,0,0,5,9,34,12,12,0
"asv20",5,0,0,0,0,5,5,0,0,0,5,5,5,5,0,5,5,5,5,5,5
"asv21",4,23,30,34,24,0,34,39,28,45,0,0,0,34,28,110,102,97,100,93,45
"asv22",3,15,15,132,134,3,127,158,131,122,3,5,3,126,128,3,10,6,10,10,130
"asv23",3,0,0,0,0,3,0,0,0,0,3,3,3,0,0,3,3,3,3,3,0
"asv24",1,0,0,0,0,2,0,0,0,0,2,0,2,0,0,2,2,2,2,2,0
"asv25",0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv26",0,49,51,51,0,0,75,0,76,0,0,0,0,0,0,0,0,0,0,0,96
"asv27",0,27,40,27,0,0,27,27,41,27,0,0,0,40,27,0,0,0,0,0,26
"asv28",0,8,8,8,0,8,8,8,8,8,0,8,8,8,8,0,0,8,8,8,8
"asv29",0,6,6,6,6,5,6,6,6,6,0,5,6,6,6,0,0,4,5,5,5
"asv30",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv31",0,0,44,0,38,2,3,3,0,0,0,0,0,3,0,58,31,53,78,26,0
"asv32",0,0,2,0,0,0,0,2,2,0,0,0,10,0,2,0,0,0,0,0,0
"asv33",0,0,0,53,0,0,0,0,0,0,0,53,0,0,0,0,0,53,0,0,0
"asv34",0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv35",0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv36",0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
"asv37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,70,57,60,60,0
"asv38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,53,52,0
"asv39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"asv40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
