"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv64",0,3,3,3,3,0,3,3,3,3,0,0,3,3,3,0,0,0,3,3,3
"asv65",0,3,0,0,0,9,9,0,0,0,0,0,0,0,9,0,0,0,12,9,9
"asv66",0,0,48,50,52,30,49,47,0,51,26,30,3,50,49,24,0,26,45,46,20
"asv67",0,0,11,11,0,0,0,11,11,11,0,0,0,11,11,0,0,0,0,11,11
"asv68",0,0,4,2,0,0,0,0,2,8,0,0,0,0,10,0,0,0,0,0,0
"asv69",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv70",0,0,0,2,2,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2
"asv71",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
"asv72",0,0,0,0,0,44,0,0,0,0,43,44,46,0,0,50,52,53,56,58,0
"asv73",0,0,0,0,0,40,41,0,0,0,39,39,40,41,0,36,38,37,39,40,42
"asv74",0,0,0,0,0,20,0,0,0,0,20,20,20,0,0,20,20,20,20,21,0
"asv75",0,0,0,0,0,19,0,0,0,0,19,19,19,0,0,18,18,18,18,18,0
"asv76",0,0,0,0,0,18,0,0,0,0,19,18,18,0,0,0,0,0,0,0,0
"asv77",0,0,0,0,0,15,0,0,0,0,15,15,16,0,0,15,15,15,16,16,0
"asv78",0,0,0,0,0,25,0,0,0,0,24,25,26,0,0,24,24,25,26,26,0
"asv79",0,0,0,0,0,19,0,0,0,0,0,19,13,0,0,0,0,19,13,13,0
"asv80",0,0,0,0,0,10,0,0,0,0,0,10,11,0,0,0,0,10,11,12,0
"asv81",0,0,0,0,0,10,0,0,0,0,10,10,10,0,0,10,10,10,10,10,0
"asv82",0,0,0,0,0,9,0,0,0,0,9,9,10,0,0,9,9,9,10,10,0
"asv83",0,0,0,0,0,9,0,0,0,0,9,9,9,0,0,8,8,8,8,9,0
"asv84",0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,9,9,9,9,10,0
"asv85",0,0,0,0,0,9,9,0,0,0,0,9,9,9,0,0,0,9,9,9,9
"asv86",0,0,0,0,0,8,0,0,0,0,8,8,8,0,0,4,4,4,4,4,0
"asv87",0,0,0,0,0,7,0,0,0,0,7,7,7,0,0,7,7,7,7,7,0
"asv88",0,0,0,0,0,7,0,0,0,0,7,7,7,0,0,7,7,7,7,7,0
"asv89",0,0,0,0,0,7,0,0,0,0,7,7,7,0,0,7,7,7,7,7,0
"asv90",0,0,0,0,0,7,7,0,0,0,0,6,6,6,0,0,0,6,6,6,6
"asv91",0,0,0,0,0,6,6,0,0,0,6,6,6,6,0,5,6,6,6,6,6
"asv92",0,0,0,0,0,3,3,0,0,0,3,3,3,3,0,3,3,3,3,3,3
"asv93",0,0,0,0,0,3,0,0,0,0,16,3,0,0,0,16,16,3,0,0,0
"asv94",0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"asv95",0,0,0,0,0,2,2,0,0,0,4,4,5,5,0,0,0,0,0,0,0
"asv96",0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv97",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"asv98",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv99",0,0,0,0,0,0,0,0,49,0,0,0,32,0,0,0,25,0,0,0,28
"asv100",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"asv101",0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,0,0,0
"asv102",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"asv103",0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,12,12,12,0
"asv104",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,12,0
"asv105",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
"asv106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3
