"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv29",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"asv30",30,30,30,42,2887,30,2796,42,30,41,36,42,2887,36,30,2797,36,30,2796,48,30,30,35,43,30,2866,121,49,2893,36,30,48,30,35,30,48,36,30,36,42,30,30,30,2792,30,30,89,2806
"asv31",24,24,26,26,24,24,26,26,24,24,26,26,24,24,26,26,24,24,26,26,24,24,26,26,24,24,26,26,24,24,26,26,24,24,26,26,24,24,26,26,24,24,26,26,24,24,26,26
"asv32",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,13,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
"asv33",13,11,11,11,13,11,11,11,13,11,11,11,13,11,11,11,13,11,11,11,13,11,11,11,13,11,11,11,13,11,11,11,13,11,11,11,13,11,11,11,13,11,11,11,13,11,11,11
"asv34",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"asv35",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"asv36",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"asv37",10,14,14,14,10,14,14,14,10,14,14,14,10,14,14,14,10,14,14,14,10,14,14,14,10,14,14,14,10,14,14,14,10,14,14,14,10,14,14,14,10,14,14,14,10,14,14,14
"asv38",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"asv39",11,11,3,11,11,0,11,11,3,8,11,3,11,3,11,3,11,0,3,3,3,3,3,3,3,11,8,11,3,11,11,15,3,11,3,3,11,11,11,3,11,11,3,11,11,11,11,11
"asv40",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"asv41",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"asv42",8,8,8,10,8,8,8,10,8,8,8,10,8,8,8,10,8,8,8,10,8,8,8,10,8,8,8,10,8,8,8,10,8,8,8,10,8,8,8,10,8,8,8,10,8,8,8,10
"asv43",8,11,11,11,8,11,11,11,8,11,11,11,8,11,11,11,8,11,11,11,8,11,11,11,8,11,11,11,8,11,11,11,8,11,11,11,8,11,11,11,8,11,11,11,8,11,11,11
"asv44",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"asv45",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"asv46",6,10,10,10,6,10,10,10,6,10,10,10,6,10,10,10,6,10,10,10,6,10,10,10,6,10,10,10,6,10,10,10,6,10,10,10,6,10,10,10,6,10,10,10,6,10,10,10
"asv47",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"asv48",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"asv49",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"asv50",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"asv51",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"asv52",7,10,10,10,7,10,10,10,7,10,10,10,7,10,10,10,7,10,10,10,7,10,10,10,7,10,10,10,7,10,10,10,7,10,10,10,7,10,10,10,7,10,10,10,7,10,10,10
"asv53",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"asv54",4,0,8,4,0,15,4,0,12,3,4,8,4,8,4,8,4,11,12,8,8,8,8,12,8,4,7,0,12,9,4,0,8,0,8,12,0,4,4,12,4,0,17,0,4,4,4,0
"asv55",4,4,4,4,4,8,4,4,4,8,0,4,4,8,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,4,0
"asv56",4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3
"asv57",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"asv58",3,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5
"asv59",3,0,3,0,0,0,0,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,0,3,0,3,3,0,3
"asv60",0,8560,0,2749,6,6,5,0,8701,0,0,0,0,0,0,8275,0,6,0,6,3,0,0,3,3,8560,6,4,0,0,8566,7,63,0,0,18,3,9,0,0,6,0,0,5,0,0,3,0
"asv61",0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5
"asv62",0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5
"asv63",0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"asv64",0,3,0,3,3,3,3,0,0,0,0,0,3,0,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3,0,3,3,3,0,0,3,3,0,3,3,3,3,0,3,0,0,3,0
"asv65",0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2
"asv66",0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6
"asv67",0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5
"asv68",0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5
"asv69",0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4
"asv70",0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0
"asv71",0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2
"asv72",0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2
"asv73",0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv74",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"asv75",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,2766,0,0,0,0,1
