"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv26",40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
"asv27",78,95,98,98,78,95,98,98,78,95,98,98,78,95,98,98,78,95,98,98,78,95,98,98,78,95,98,98,78,95,98,98,78,95,98,98,78,95,98,98,78,95,98,98,78,95,98,98
"asv28",89,89,91,91,89,89,91,91,89,89,91,91,89,89,91,91,89,89,91,91,89,89,91,91,89,89,91,91,89,89,91,91,89,89,91,91,89,89,91,91,89,89,91,91,89,89,91,91
"asv29",37,37,37,35,37,37,37,35,37,37,37,35,37,37,37,35,37,37,37,35,37,37,37,35,37,37,37,35,37,37,37,35,37,37,37,35,37,37,37,35,37,37,37,35,37,37,37,35
"asv30",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"asv31",28,28,28,27,28,28,28,27,28,28,28,27,28,28,28,27,28,28,28,27,28,28,28,27,28,28,28,27,28,28,28,27,28,28,28,27,28,28,28,27,28,28,28,27,28,28,28,27
"asv32",49,49,49,49,49,30,30,30,30,49,30,49,49,49,49,49,49,49,3,49,30,22,30,30,30,49,30,30,49,49,49,49,30,49,49,49,22,49,49,30,49,30,49,49,49,49,49,22
"asv33",47,52,52,52,47,52,52,52,47,52,52,52,47,52,52,52,47,52,52,52,47,52,52,52,47,52,52,52,47,52,52,52,47,52,52,52,47,52,52,52,47,52,52,52,47,52,52,52
"asv34",38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
"asv35",23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"asv36",20,19,19,19,20,19,19,19,20,19,19,19,20,19,19,19,20,19,19,19,20,19,19,19,20,19,19,19,20,19,19,19,20,19,19,19,20,19,19,19,20,19,19,19,20,19,19,19
"asv37",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"asv38",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"asv39",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"asv40",16,16,18,18,16,16,18,18,16,16,18,18,16,16,18,18,16,16,18,18,16,16,18,18,16,16,18,18,16,16,18,18,16,16,18,18,16,16,18,18,16,16,18,18,16,16,18,18
"asv41",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"asv42",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
"asv43",22,25,25,25,22,25,25,25,22,25,25,25,22,25,25,25,22,25,25,25,22,25,25,25,22,25,25,25,22,25,25,25,22,25,25,25,22,25,25,25,22,25,25,25,22,25,25,25
"asv44",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"asv45",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"asv46",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"asv47",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"asv48",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"asv49",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
