trackID,filtered,denoisedF,denoisedR,merged,nonchim,assignes,badassignes,PRM_TRUNCQ,PRM_RMPHIX,PRM_MAXEE,Trunclen
track47,100514,100312,100315,1814,1811,5,45,Truncq_4,rmphix_FALSE,MaxEE_1-1,TruncLen_180-160
track48,100514,100312,100315,1814,1811,6,44,Truncq_7,rmphix_FALSE,MaxEE_1-1,TruncLen_180-160
track49,100514,100312,100315,1814,1811,5,45,Truncq_11,rmphix_FALSE,MaxEE_1-1,TruncLen_180-160
track50,39338,39235,39223,996,994,2,27,Truncq_15,rmphix_FALSE,MaxEE_1-1,TruncLen_180-160
track51,93835,93565,93430,92767,85231,19,56,Truncq_2,rmphix_TRUE,MaxEE_2-2,TruncLen_0-0
track52,93835,93565,93430,92767,85231,18,57,Truncq_4,rmphix_TRUE,MaxEE_2-2,TruncLen_0-0
track53,93835,93565,93430,92767,85231,17,58,Truncq_7,rmphix_TRUE,MaxEE_2-2,TruncLen_0-0
track54,93835,93565,93430,92767,85231,18,57,Truncq_11,rmphix_TRUE,MaxEE_2-2,TruncLen_0-0
track55,113927,113479,113862,1782,1782,2,16,Truncq_15,rmphix_TRUE,MaxEE_2-2,TruncLen_0-0
track56,98458,98243,98158,97705,89775,26,37,Truncq_2,rmphix_TRUE,MaxEE_2-2,TruncLen_250-230
track57,98458,98243,98158,97705,89775,27,36,Truncq_4,rmphix_TRUE,MaxEE_2-2,TruncLen_250-230
track58,98458,98243,98158,97705,89775,26,37,Truncq_7,rmphix_TRUE,MaxEE_2-2,TruncLen_250-230
track59,98458,98243,98158,97705,89775,26,37,Truncq_11,rmphix_TRUE,MaxEE_2-2,TruncLen_250-230
track60,11268,11239,11235,11208,10007,6,4,Truncq_15,rmphix_TRUE,MaxEE_2-2,TruncLen_250-230
track61,103704,103438,103251,1853,1851,7,40,Truncq_2,rmphix_TRUE,MaxEE_2-2,TruncLen_230-210
track62,103704,103438,103251,1853,1851,8,39,Truncq_4,rmphix_TRUE,MaxEE_2-2,TruncLen_230-210
track63,103704,103438,103251,1853,1851,8,39,Truncq_7,rmphix_TRUE,MaxEE_2-2,TruncLen_230-210
track64,103704,103438,103251,1853,1851,7,40,Truncq_11,rmphix_TRUE,MaxEE_2-2,TruncLen_230-210
track65,16365,16296,16307,322,322,0,10,Truncq_15,rmphix_TRUE,MaxEE_2-2,TruncLen_230-210
track66,107301,107024,106834,2045,2037,9,44,Truncq_2,rmphix_TRUE,MaxEE_2-2,TruncLen_210-190
track67,107301,107024,106834,2045,2037,8,45,Truncq_4,rmphix_TRUE,MaxEE_2-2,TruncLen_210-190
track68,107301,107024,106834,2045,2037,9,44,Truncq_7,rmphix_TRUE,MaxEE_2-2,TruncLen_210-190
track69,107301,107024,106834,2045,2037,9,44,Truncq_11,rmphix_TRUE,MaxEE_2-2,TruncLen_210-190
track70,25380,25279,25296,695,692,3,16,Truncq_15,rmphix_TRUE,MaxEE_2-2,TruncLen_210-190
track71,112282,111946,111982,2034,2030,5,45,Truncq_2,rmphix_TRUE,MaxEE_2-2,TruncLen_180-160
track72,112282,111946,111982,2034,2030,6,44,Truncq_4,rmphix_TRUE,MaxEE_2-2,TruncLen_180-160
track73,112282,111946,111982,2034,2030,5,45,Truncq_7,rmphix_TRUE,MaxEE_2-2,TruncLen_180-160
track74,112282,111946,111982,2034,2030,5,45,Truncq_11,rmphix_TRUE,MaxEE_2-2,TruncLen_180-160
track75,39338,39235,39223,996,994,2,27,Truncq_15,rmphix_TRUE,MaxEE_2-2,TruncLen_180-160
track76,93835,93565,93430,92767,85231,19,56,Truncq_2,rmphix_FALSE,MaxEE_2-2,TruncLen_0-0
track77,93835,93565,93430,92767,85231,18,57,Truncq_4,rmphix_FALSE,MaxEE_2-2,TruncLen_0-0
track78,93835,93565,93430,92767,85231,18,57,Truncq_7,rmphix_FALSE,MaxEE_2-2,TruncLen_0-0
track79,93835,93565,93430,92767,85231,19,56,Truncq_11,rmphix_FALSE,MaxEE_2-2,TruncLen_0-0
track80,113927,113479,113862,1782,1782,2,16,Truncq_15,rmphix_FALSE,MaxEE_2-2,TruncLen_0-0
track81,98458,98243,98158,97705,89775,26,37,Truncq_2,rmphix_FALSE,MaxEE_2-2,TruncLen_250-230
track82,98458,98243,98158,97705,89775,26,37,Truncq_4,rmphix_FALSE,MaxEE_2-2,TruncLen_250-230
track83,98458,98243,98158,97705,89775,26,37,Truncq_7,rmphix_FALSE,MaxEE_2-2,TruncLen_250-230
track84,98458,98243,98158,97705,89775,27,36,Truncq_11,rmphix_FALSE,MaxEE_2-2,TruncLen_250-230
track85,11268,11239,11235,11208,10007,6,4,Truncq_15,rmphix_FALSE,MaxEE_2-2,TruncLen_250-230
track86,103704,103438,103251,1853,1851,8,39,Truncq_2,rmphix_FALSE,MaxEE_2-2,TruncLen_230-210
track87,103704,103438,103251,1853,1851,8,39,Truncq_4,rmphix_FALSE,MaxEE_2-2,TruncLen_230-210
track88,103704,103438,103251,1853,1851,8,39,Truncq_7,rmphix_FALSE,MaxEE_2-2,TruncLen_230-210
track89,103704,103438,103251,1853,1851,8,39,Truncq_11,rmphix_FALSE,MaxEE_2-2,TruncLen_230-210
track90,16365,16296,16307,322,322,3,8,Truncq_15,rmphix_FALSE,MaxEE_2-2,TruncLen_230-210
track91,107301,107024,106834,2045,2037,9,44,Truncq_2,rmphix_FALSE,MaxEE_2-2,TruncLen_210-190
track92,107301,107024,106834,2045,2037,9,44,Truncq_4,rmphix_FALSE,MaxEE_2-2,TruncLen_210-190
track93,107301,107024,106834,2045,2037,10,43,Truncq_7,rmphix_FALSE,MaxEE_2-2,TruncLen_210-190
track94,107301,107024,106834,2045,2037,8,45,Truncq_11,rmphix_FALSE,MaxEE_2-2,TruncLen_210-190
track95,25380,25279,25296,695,692,4,15,Truncq_15,rmphix_FALSE,MaxEE_2-2,TruncLen_210-190
track96,112282,111946,111982,2034,2030,5,45,Truncq_2,rmphix_FALSE,MaxEE_2-2,TruncLen_180-160
track97,112282,111946,111982,2034,2030,6,44,Truncq_4,rmphix_FALSE,MaxEE_2-2,TruncLen_180-160
track98,112282,111946,111982,2034,2030,6,44,Truncq_7,rmphix_FALSE,MaxEE_2-2,TruncLen_180-160
track99,112282,111946,111982,2034,2030,5,45,Truncq_11,rmphix_FALSE,MaxEE_2-2,TruncLen_180-160
track100,39338,39235,39223,996,994,2,27,Truncq_15,rmphix_FALSE,MaxEE_2-2,TruncLen_180-160
track101,104664,104282,104134,101857,93810,19,56,Truncq_2,rmphix_TRUE,MaxEE_3-3,TruncLen_0-0
track102,104664,104282,104134,101857,93810,20,55,Truncq_4,rmphix_TRUE,MaxEE_3-3,TruncLen_0-0
track103,104664,104282,104134,101857,93810,19,56,Truncq_7,rmphix_TRUE,MaxEE_3-3,TruncLen_0-0
