"trackID","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","121617","70136","69971","69871","69471","63585","18","53","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track2","121617","70136","69971","69871","69471","63585","16","55","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track3","121617","70136","69971","69871","69471","63585","17","54","Truncq_7","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track4","121617","70136","69971","69871","69471","63585","16","55","Truncq_11","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track5","121617","113921","113474","113856","1782","1782","2","16","Truncq_15","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track6","121617","82214","82072","82008","81701","74790","28","35","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_250-230"
"track7","121617","82214","82072","82008","81701","74790","28","35","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_250-230"
"track8","121617","82214","82072","82008","81701","74790","28","35","Truncq_7","rmphix_TRUE","MaxEE_1-1","TruncLen_250-230"
"track9","121617","82214","82072","82008","81701","74790","28","35","Truncq_11","rmphix_TRUE","MaxEE_1-1","TruncLen_250-230"
"track10","121617","11268","11239","11235","11208","10007","6","4","Truncq_15","rmphix_TRUE","MaxEE_1-1","TruncLen_250-230"
"track11","121617","89604","89442","89365","1619","1617","8","38","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_230-210"
"track12","121617","89604","89442","89365","1619","1617","7","39","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_230-210"
"track13","121617","89604","89442","89365","1619","1617","8","38","Truncq_7","rmphix_TRUE","MaxEE_1-1","TruncLen_230-210"
"track14","121617","89604","89442","89365","1619","1617","7","39","Truncq_11","rmphix_TRUE","MaxEE_1-1","TruncLen_230-210"
"track15","121617","16365","16296","16307","322","322","0","10","Truncq_15","rmphix_TRUE","MaxEE_1-1","TruncLen_230-210"
"track16","121617","94630","94450","94406","1800","1792","9","43","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_210-190"
"track17","121617","94630","94450","94406","1800","1792","8","44","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_210-190"
"track18","121617","94630","94450","94406","1800","1792","8","44","Truncq_7","rmphix_TRUE","MaxEE_1-1","TruncLen_210-190"
"track19","121617","94630","94450","94406","1800","1792","8","44","Truncq_11","rmphix_TRUE","MaxEE_1-1","TruncLen_210-190"
"track20","121617","25380","25279","25296","695","692","3","16","Truncq_15","rmphix_TRUE","MaxEE_1-1","TruncLen_210-190"
"track21","121617","100514","100312","100315","1814","1811","5","45","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_180-160"
"track22","121617","100514","100312","100315","1814","1811","5","45","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_180-160"
"track23","121617","100514","100312","100315","1814","1811","6","44","Truncq_7","rmphix_TRUE","MaxEE_1-1","TruncLen_180-160"
"track24","121617","100514","100312","100315","1814","1811","6","44","Truncq_11","rmphix_TRUE","MaxEE_1-1","TruncLen_180-160"
"track25","121617","39338","39235","39223","996","994","4","25","Truncq_15","rmphix_TRUE","MaxEE_1-1","TruncLen_180-160"
"track26","121617","70136","69971","69871","69471","63585","15","56","Truncq_2","rmphix_FALSE","MaxEE_1-1","TruncLen_0-0"
"track27","121617","70136","69971","69871","69471","63585","16","55","Truncq_4","rmphix_FALSE","MaxEE_1-1","TruncLen_0-0"
"track28","121617","70136","69971","69871","69471","63585","15","56","Truncq_7","rmphix_FALSE","MaxEE_1-1","TruncLen_0-0"
"track29","121617","70136","69971","69871","69471","63585","17","54","Truncq_11","rmphix_FALSE","MaxEE_1-1","TruncLen_0-0"
"track30","121617","113921","113474","113856","1782","1782","0","17","Truncq_15","rmphix_FALSE","MaxEE_1-1","TruncLen_0-0"
"track31","121617","82214","82072","82008","81701","74790","27","36","Truncq_2","rmphix_FALSE","MaxEE_1-1","TruncLen_250-230"
"track32","121617","82214","82072","82008","81701","74790","28","35","Truncq_4","rmphix_FALSE","MaxEE_1-1","TruncLen_250-230"
"track33","121617","82214","82072","82008","81701","74790","27","36","Truncq_7","rmphix_FALSE","MaxEE_1-1","TruncLen_250-230"
"track34","121617","82214","82072","82008","81701","74790","28","35","Truncq_11","rmphix_FALSE","MaxEE_1-1","TruncLen_250-230"
"track35","121617","11268","11239","11235","11208","10007","6","4","Truncq_15","rmphix_FALSE","MaxEE_1-1","TruncLen_250-230"
"track36","121617","89604","89442","89365","1619","1617","7","39","Truncq_2","rmphix_FALSE","MaxEE_1-1","TruncLen_230-210"
"track37","121617","89604","89442","89365","1619","1617","7","39","Truncq_4","rmphix_FALSE","MaxEE_1-1","TruncLen_230-210"
"track38","121617","89604","89442","89365","1619","1617","7","39","Truncq_7","rmphix_FALSE","MaxEE_1-1","TruncLen_230-210"
"track39","121617","89604","89442","89365","1619","1617","8","38","Truncq_11","rmphix_FALSE","MaxEE_1-1","TruncLen_230-210"
"track40","121617","16365","16296","16307","322","322","2","9","Truncq_15","rmphix_FALSE","MaxEE_1-1","TruncLen_230-210"
"track41","121617","94630","94450","94406","1800","1792","8","44","Truncq_2","rmphix_FALSE","MaxEE_1-1","TruncLen_210-190"
