"track"	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"	"assignes"	"badassignes"	"PRM_TRUNCQ"	"PRM_RMPHIX"	"PRM_MAXEE"	"PRM_TRUNCLEN"	"pFiltered"	"pDenoisedF"	"pDenoisedR"	"pMerged"	"pNonchim"	"Klebsiella"	"Citrobacter"	"Lelliottia"	"Streptococcus"	"Prevotella_7"	"Fusobacterium"	"Raoultella"	"Granulicatella"	"Bergeyella"	"Veillonella"	"Prevotella_6"	"Enterococcus"	"Lactobacillus"	"Gemella"	"Campylobacter"	"Leptotrichia"	"Atopobium"	"Prevotella"	"Oribacterium"	"Megasphaera"	"Bifidobacterium"	"Stomatobaculum"	"Porphyromonas"	"Neisseria"	"Haemophilus"	"Actinobacillus"	"Parvimonas"	"Geobacillus"	"Enterobacter"	"Kingella"	"Capnocytophaga"	"Bacillus"	"Dialister"	"Treponema_2"	"Mycoplasma"	"Mogibacterium"	"Shuttleworthia"	"Alloprevotella"	"Anaerobacillus"	"Rothia"	"Actinomyces"	"Escherichia/Shigella"	"Cutibacterium"	"Pseudoscardovia"	"Selenomonas_3"	"Ochrobactrum"	"Corynebacterium"	"Samsonia"	"Atlantibacter"	"Tannerella"	"Prevotellaceae_YAB2003_group"	"Distigma"	"Atopobacter"	"Solobacterium"	"Hydrogenophilus"	"Slackia"	"Melissococcus"	"Enterobacillus"	"Anthococcus"
"track31"	"track31"	140892	33221	32590	32696	30205	24983	143	77	"Truncq_2"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_250-230"	23.5790534593873	23.1311926865968	23.2064276183176	21.4384067228799	17.7320216903728	326	194	37	6384	3761	2766	26	914	1179	2873	642	417	151	546	116	0	101	196	75	0	115	87	135	56	77	43	39	43	0	27	42	0	12	17	4	3	3	0	23	71	70	32	13	0	6	6	4	6	5	3	2	4	0	0	0	0	0	0	0
"track32"	"track32"	140892	33221	32590	32696	30205	24983	143	77	"Truncq_4"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_250-230"	23.5790534593873	23.1311926865968	23.2064276183176	21.4384067228799	17.7320216903728	326	194	37	6384	3761	2766	26	914	1179	2873	642	417	151	546	116	0	101	196	75	0	115	87	135	56	77	43	39	43	0	27	42	0	12	17	4	3	3	0	23	71	70	32	13	10	6	6	4	6	2	3	2	7	0	0	0	0	0	0	0
"track33"	"track33"	140892	33221	32590	32696	30205	24983	143	77	"Truncq_7"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_250-230"	23.5790534593873	23.1311926865968	23.2064276183176	21.4384067228799	17.7320216903728	326	194	37	6384	3761	2766	26	914	1179	2873	642	417	151	546	116	0	101	196	75	0	115	87	135	56	77	43	39	43	0	27	42	0	12	17	4	3	3	0	23	71	70	32	13	10	6	6	4	6	5	3	2	4	0	0	0	0	0	0	0
"track34"	"track34"	140892	33221	32590	32696	30205	24983	143	77	"Truncq_11"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_250-230"	23.5790534593873	23.1311926865968	23.2064276183176	21.4384067228799	17.7320216903728	326	194	37	6384	3761	2766	26	914	1179	2873	642	417	151	546	116	0	101	196	75	0	115	87	135	56	77	43	39	43	0	27	42	0	12	17	4	3	3	0	23	71	70	32	13	10	6	6	4	6	3	3	2	0	0	0	0	0	0	0	0
"track35"	"track35"	140892	2767	2679	2683	2447	2336	46	11	"Truncq_15"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_250-230"	1.96391562331431	1.90145643471595	1.90429548874315	1.73679130113846	1.65800755188371	0	0	0	627	288	251	0	193	98	193	51	84	9	86	12	0	4	0	13	0	0	6	0	6	8	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
"track36"	"track36"	140892	94777	94084	94134	4733	4681	11	82	"Truncq_2"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_230-210"	67.2692558839395	66.7773897737274	66.8128779490674	3.3593106776822	3.32240297532862	3	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track37"	"track37"	140892	94777	94084	94134	4733	4681	12	81	"Truncq_4"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_230-210"	67.2692558839395	66.7773897737274	66.8128779490674	3.3593106776822	3.32240297532862	3	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track38"	"track38"	140892	94777	94084	94134	4733	4681	11	82	"Truncq_7"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_230-210"	67.2692558839395	66.7773897737274	66.8128779490674	3.3593106776822	3.32240297532862	3	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track39"	"track39"	140892	94777	94084	94134	4733	4681	12	81	"Truncq_11"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_230-210"	67.2692558839395	66.7773897737274	66.8128779490674	3.3593106776822	3.32240297532862	3	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track40"	"track40"	140892	13656	13429	13523	832	832	2	26	"Truncq_15"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_230-210"	9.69253044885444	9.53141413281095	9.5981319024501	0.590523237657213	0.590523237657213	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track41"	"track41"	140892	102589	101914	101846	5223	5168	4	93	"Truncq_2"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_210-190"	72.8139283990574	72.3348380319677	72.2865741135054	3.70709479601397	3.66805780313999	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track42"	"track42"	140892	102589	101914	101846	5223	5168	4	93	"Truncq_4"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_210-190"	72.8139283990574	72.3348380319677	72.2865741135054	3.70709479601397	3.66805780313999	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"track43"	"track43"	140892	102589	101914	101846	5223	5168	4	93	"Truncq_7"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_210-190"	72.8139283990574	72.3348380319677	72.2865741135054	3.70709479601397	3.66805780313999	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track44"	"track44"	140892	102589	101914	101846	5223	5168	5	92	"Truncq_11"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_210-190"	72.8139283990574	72.3348380319677	72.2865741135054	3.70709479601397	3.66805780313999	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"track45"	"track45"	140892	24401	24112	24164	1803	1803	2	34	"Truncq_15"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_210-190"	17.3189393294154	17.1138176759504	17.1507253783039	1.27970360275956	1.27970360275956	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track46"	"track46"	140892	111165	110592	110263	4982	4916	3	77	"Truncq_2"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_180-160"	78.9008602333702	78.4941657439741	78.2606535502371	3.53604179087528	3.48919739942651	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track47"	"track47"	140892	111165	110592	110263	4982	4916	3	77	"Truncq_4"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_180-160"	78.9008602333702	78.4941657439741	78.2606535502371	3.53604179087528	3.48919739942651	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
