"table_taxa[, 1]","track1","track2","track3","track4","track5"
"asv1",30115,30115,30115,30110,0
"asv2",9479,8031,115,5,0
"asv3",9202,15576,23561,26002,77002
"asv4",4333,4333,4333,4333,0
"asv5",5500,5500,5500,5485,0
"asv6",2966,0,0,0,0
"asv7",1525,1525,1525,1506,0
"asv8",1471,1471,1471,1467,0
"asv9",424,424,424,424,0
"asv10",2324,580,67,0,0
"asv11",449,449,449,446,0
"asv12",263,263,263,263,0
"asv13",244,244,244,244,0
"asv14",503,503,503,306,0
"asv15",291,3,0,0,0
"asv16",377,39,0,0,0
"asv17",224,1026,43,0,0
"asv18",173,173,173,168,0
"asv19",164,164,164,0,0
"asv20",133,133,133,0,0
"asv21",130,130,130,130,0
"asv22",143,143,143,143,0
"asv23",144,144,144,144,0
"asv24",118,118,118,0,0
"asv25",141,141,141,141,0
"asv26",122,0,0,0,0
"asv27",307,307,307,0,0
"asv28",118,0,0,0,0
"asv29",220,220,220,220,0
"asv30",110,110,110,110,0
"asv31",95,95,95,87,0
"asv32",257,257,257,59,0
"asv33",113,113,113,113,0
"asv34",229,387,26,0,0
"asv35",80,80,80,80,0
"asv36",193,193,193,83,0
"asv37",71,71,71,71,0
"asv38",148,148,148,0,0
"asv39",61,61,61,61,0
"asv40",55,55,55,55,0
"asv41",107,107,107,107,0
"asv42",53,53,53,53,0
"asv43",109,30,0,0,0
"asv44",80,80,80,80,0
"asv45",97,97,97,97,0
"asv46",47,47,47,92,0
"asv47",82,82,82,82,0
"asv48",46,46,46,46,0
"asv49",45,0,0,0,0
"asv50",135,135,135,121,0
"asv51",41,41,41,41,0
"asv52",108,108,108,105,0
"asv53",132,132,132,79,0
"asv54",37,37,37,37,0
"asv55",55,55,55,0,0
"asv56",52,52,52,52,0
"asv57",60,60,60,60,0
"asv58",62,62,62,62,0
"asv59",32,32,32,32,0
"asv60",56,56,56,56,0
"asv61",31,31,31,31,0
"asv62",31,31,31,0,0
"asv63",31,3,5,0,0
"asv64",31,31,31,0,0
"asv65",30,30,30,30,0
"asv66",126,126,126,107,0
"asv67",33,33,33,29,0
"asv68",62,0,0,0,0
"asv69",28,28,0,0,0
"asv70",28,28,0,0,0
"asv71",28,28,0,0,0
"asv72",56,56,56,56,0
"asv73",28,28,28,28,0
"asv74",28,28,28,0,0
"asv75",27,27,27,27,0
"asv76",26,26,26,26,0
"asv77",41,41,41,41,0
"asv78",26,26,26,26,0
"asv79",25,25,25,25,0
"asv80",22,22,22,0,0
"asv81",22,22,22,0,0
"asv82",22,22,22,22,0
"asv83",22,0,0,0,0
"asv84",39,39,39,39,0
"asv85",21,21,21,0,0
"asv86",21,21,21,21,0
"asv87",39,39,39,39,0
"asv88",21,21,21,21,0
"asv89",21,21,21,21,0
"asv90",21,21,21,0,0
"asv91",33,33,33,21,0
"asv92",26,0,0,0,0
"asv93",81,81,81,81,0
"asv94",38,38,38,20,0
"asv95",20,20,20,20,0
"asv96",19,0,0,0,0
"asv97",19,19,47,288,0
"asv98",19,19,19,57,0
"asv99",19,19,19,19,0
"asv100",38,38,38,30,0
"asv101",18,18,18,18,0
"asv102",18,18,18,0,0
"asv103",18,18,18,18,0
"asv104",18,18,18,18,0
"asv105",18,18,18,18,0
"asv106",18,18,18,18,0
"asv107",51,51,51,34,0
"asv108",17,17,17,0,0
"asv109",17,17,17,17,0
"asv110",17,17,17,17,0
"asv111",17,17,17,17,0
"asv112",16,16,16,16,0
"asv113",16,16,16,0,0
"asv114",98,246,42,0,0
"asv115",16,16,16,16,0
"asv116",27,27,27,11,0
"asv117",16,16,16,16,0
"asv118",15,15,15,15,0
"asv119",15,15,15,15,0
"asv120",39,39,39,15,0
"asv121",32,32,32,32,0
"asv122",14,14,14,0,0
"asv123",14,17,14,0,0
"asv124",14,14,14,14,0
"asv125",19,19,19,0,0
"asv126",13,13,13,0,0
"asv127",13,13,13,13,0
