"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv65","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Vulcaniibacterium"
"asv66","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae",NA
"asv67","Eukaryota","Mucoromycota","Incertae_Sedis","Mucorales","Lichtheimiaceae",NA
"asv68","Eukaryota","Cercozoa","Phytomyxea","Phytomyxea_or","Phytomyxea_fa","Plasmodiophora"
"asv69","Eukaryota","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Ostreopsis"
"asv70","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Protokeelia"
"asv71","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"asv72","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Monashia"
"asv73","Eukaryota","Ciliophora","Intramacronucleata","Conthreep","Oligohymenophorea",NA
"asv74","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus"
"asv75","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea",NA,NA
"asv76","Eukaryota","Prymnesiophyceae","Prymnesiales","Prymnesiales_or","Prymnesiales_fa",NA
"asv77","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Saccharococcus"
"asv78","Eukaryota","Euglenozoa","Kinetoplastea","Metakinetoplastina","Trypanosomatida",NA
"asv79","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter"
"asv80","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Aciduliprofundaceae","JdFR-45"
"asv81","Eukaryota","Euglenozoa","Kinetoplastea","Metakinetoplastina","Trypanosomatida","Leptomonas"
"asv82","Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa",NA
"asv83","Eukaryota","Parabasalia",NA,NA,NA,NA
