"table_taxa[, 1]","track1","track2","track3","track4","track5"
"asv1",20045,16543,78,0,0
"asv2",13588,20684,45159,45536,47141
"asv3",2817,0,0,0,0
"asv4",770,868,4,0,0
"asv5",761,56,0,0,0
"asv6",4316,907,160,0,0
"asv7",344,0,0,0,0
"asv8",451,344,0,0,0
"asv9",645,645,645,645,0
"asv10",186,0,0,0,0
"asv11",668,15,0,0,0
"asv12",116,116,116,116,0
"asv13",130,19,23,0,0
"asv14",88,0,0,0,0
"asv15",158,0,0,0,0
"asv16",86,0,0,0,0
"asv17",105,5,0,0,0
"asv18",72,0,0,0,0
"asv19",64,64,64,64,0
"asv20",67,0,0,0,0
"asv21",196,196,196,196,0
"asv22",127,0,0,0,0
"asv23",55,55,55,55,0
"asv24",55,55,55,55,0
"asv25",53,53,53,53,0
"asv26",59,0,0,0,0
"asv27",44,0,0,0,0
"asv28",34,0,0,0,0
"asv29",31,0,0,0,0
"asv30",31,31,31,31,0
"asv31",31,31,31,31,0
"asv32",29,29,29,29,0
"asv33",28,28,28,0,0
"asv34",27,0,0,0,0
"asv35",27,27,27,27,0
"asv36",24,24,24,24,0
"asv37",107,2015,86,0,0
"asv38",38,38,38,14,0
"asv39",24,3422,0,0,0
"asv40",23,23,23,0,0
"asv41",23,0,0,0,0
"asv42",29,29,29,0,0
"asv43",101,463,24,0,0
"asv44",24,4,2,0,0
"asv45",28,0,0,0,0
"asv46",15,15,0,0,0
"asv47",17,0,0,0,0
"asv48",13,0,0,0,0
"asv49",22,22,22,22,0
"asv50",13,0,0,0,0
"asv51",13,0,0,0,0
"asv52",16,0,0,0,0
"asv53",12,12,12,12,0
"asv54",11,11,11,11,0
"asv55",20,82,0,0,0
"asv56",11,11,11,11,0
"asv57",10,10,10,10,0
"asv58",10,10,10,10,0
"asv59",24,105,0,0,0
"asv60",9,9,9,9,0
"asv61",9,0,0,0,0
"asv62",9,9,9,0,0
"asv63",17,0,0,0,0
"asv64",9,0,0,0,0
"asv65",9,0,0,0,0
"asv66",8,8,8,0,0
"asv67",7,0,0,0,0
"asv68",7,0,0,0,0
"asv69",7,0,0,0,0
"asv70",6,0,0,0,0
"asv71",6,6,6,6,0
"asv72",6,6,6,0,0
"asv73",6,6,6,0,0
"asv74",11,11,11,5,0
"asv75",5,0,0,0,0
"asv76",5,0,0,0,0
"asv77",5,0,0,0,0
"asv78",5,0,0,0,0
"asv79",5,0,0,0,0
"asv80",5,5,5,5,0
"asv81",4,4,4,4,0
"asv82",4,4,4,4,0
"asv83",4,0,0,0,0
"asv84",4,0,0,0,0
"asv85",4,0,0,0,0
"asv86",3,0,0,0,0
"asv87",3,0,0,0,0
"asv88",3,0,0,0,0
"asv89",3,0,0,0,0
"asv90",7,2,0,0,0
"asv91",2,2,0,0,0
"asv92",2,0,0,0,0
"asv93",2,2,0,0,0
"asv94",2,0,0,0,0
"asv95",4,0,0,0,0
"asv96",2,0,0,0,0
"asv97",0,0,15,15,0
"asv98",0,0,2,2,0
"asv99",0,0,0,28,0
"asv100",0,0,0,24,0
"asv101",0,0,0,23,0
"asv102",0,0,0,29,0
"asv103",0,0,0,9,0
"asv104",0,0,0,8,0
"asv105",0,0,0,6,0
"asv106",0,0,0,6,0
"asv107",0,0,0,6,0
